Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Window Views,The House Has,Parking,Links
Stone,No,Not available,4,54 sq.m.,2,1,from 2.7 m,4,Closed balcony,Available,Partial Renovation,3,Yes,No,Not included,1 month,Aragatsotn › Aparan,"50,000 ֏ monthly",AMD,"Apartment for rent in Aparan city, partially renovated. Hot and cold water, boiler, utilities, 2 rooms furnished 3, the rest by phone, deposit required. Will negotiate for long term stayTranslated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18371048
Stone,No,Not available,4,73 sq.m.,2,1,from 2.7 m,3,Multiple balconies,Available,Designer Renovation,4,Yes,No,Not included,2 weeks,Aragatsotn › Aparan,"60,000 ֏ monthly",AMD,"It is for rent. The building is located on the slope of Mount Arai, on the Yeghvard-Apara highway, in the village of ERNJATAP of the Aparan community, near the school and shop.There is hot and cold water, gas.The bathroom and kitchen are stylishly renovated, clean, comfortable apartment.A deposit is requiredTranslated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/17968939
Stone,No,Not available,5,72 sq.m.,3,1,from 3 m,1,Closed balcony,Available,Major Renovation,5,Yes,No,Included,By Agreement,"Տիգրան Մեծի փողոց 46, Աշտարակ","16,000 ֏ daily",AMD,"New unique house in Ashtarak, with all amenities, completely new. There are discounts for more than 3 days, I will also sell. We will agree on the monthly price.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/16785815
Stone,No,Not available,1,150 sq.m.,5,1,from 3 m,1,Not available,,Cosmetic Renovation,,,,,,Aragatsotn › Aparan,"250,000 ֏ monthly",AMD,"150 sq. M. Apartment, 5 rooms. A large barn. Garage for 2 cars.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/17394032
Stone,No,Not available,5,40 sq.m.,2,1,from 2.8 m,1,Not available,Available,Major Renovation,2,Yes,No,Not included,1 month,"Margarian street 25, Yerevan","250,000 ֏ monthly",AMD,"Fully renovated apartment for rent in Ajapnyak area, next to Kaiser supermarket.Area: 40 square metersNumber of rooms: 2Floor: 1/5All utilities are available.The rent is 250,000 AMD, negotiable.Code H0004Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18072997
Stone,No,Not available,2,70 sq.m.,2,1,from 2.75 m,2,Not available,By agreement,Cosmetic Renovation,8+,Yes,Negotiable,Not included,By Agreement,Aragatsotn › Ashtarak,"120,000 ֏ monthly",AMD,"Own house for rent in Ashtarak. The house is located on the 1st floor of a private house with a horse-drawn entrance, newly renovated.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18637542
Stone,No,Not available,4,72 sq.m.,3,1,from 2.5 m,1,Open balcony,Available,Cosmetic Renovation,6,Negotiable,Negotiable,Not included,By Agreement,Aragatsotn › Aparan,"120,000 ֏ monthly",AMD,"3-room apartment for rent in Aparan, Yernjatap village.The apartment is furnished with furniture and all household amenities, there is also hot and cold water, natural gas.There is a grocery store, a school, a church near the area.For details, call the indicated phone number.Translated from Armenian",Nov-27-2022_18-52,"TElevision, parking space","FRidge, stove, coffee maker, washing machine, water heater",PArk view,,,https://list.am/en/item/18594029
Stone,No,Available,5,48 sq.m.,1,1,from 2.8 m,2,Closed balcony,Available,Cosmetic Renovation,3,Yes,Yes,By Agreement,1 month,Aragatsotn › Aparan,"80,000 ֏ monthly",AMD,"1 room for rent, clean, bright, sunny, furnished, has all utilities, internet. The apartment is located in Aparan city, next to Gntunik, a heating system will be installed in the apartment soon.Translated from Armenian",Nov-27-2022_18-52,"TElevision, internet","FRidge, stove, washing machine, iron","YArd view, street view",,,https://list.am/en/item/18155902
Stone,No,Not available,5,48 sq.m.,2,1,from 2.8 m,2,Closed balcony,Available,Cosmetic Renovation,3,No,No,Not included,2 months,Aragatsotn › Aparan,"80,000 ֏ monthly",AMD,"A one-room niche is for rent in the center of Aparan city, near Gntunik, with a furnished bathroom, renovated in Euro, provided with basic necessities. The apartment is rented with a deposit and to responsible, clean people for no less than 6 months.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18553324
Stone,Yes,Not available,2,3000 sq.m.,8+,3+,from 3 m,2,Open balcony,Available,Designer Renovation,8+,Yes,Yes,Included,By Agreement,Aragatsotn › Ashtarak,"40,000 ֏ daily",AMD,"A mansion in a tower in Oshakan, a very beautiful house with a unique design style, everything to organize your vacation, a large swimming pool, a sauna, a city, 19 cl, a televt.Translated from Armenian",Nov-27-2022_18-52,"TElevision, internet, parking space","FRidge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water heater, iron, hair dryer","YArd view, street view, park view",COncierge,OUtdoor parking,https://list.am/en/item/18635754
Stone,No,Not available,5,50 sq.m.,1,1,from 2.75 m,5,Closed balcony,Available,Cosmetic Renovation,4,Yes,No,Not included,2 months,Aragatsotn › Talin,"60,000 ֏ monthly",AMD,"Բնակարանը գտնվում է Թալին քաղաքում, մոտակայքում կան խանութներ, բանկեր, դեղատներ։Բնակարանը ունի բոլոր հարմարությունները, գազ, տաք ու սառը ջուր։ Եվրոպատուհաններ։Գտնվում է Երևանից 60կմ հեռավորության վրա։Квартира находится в городе Талин, рядом магазины, банки, аптеки.В квартире есть все удобства, газ, горячая и холодная вода. Евроокна.Он расположен в 60 км от Еревана.",Nov-27-2022_18-52,TElevision,"FRidge, stove, microwave, washing machine, water heater","YArd view, street view",INtercom entry,OUtdoor parking,https://list.am/en/item/18633338
Stone,No,Not available,3,65 sq.m.,3,1,from 2.8 m,3,Multiple balconies,Available,Cosmetic Renovation,3,No,No,Not included,3 months,"1-ին փողոցի 1-ին նրբանցք 1, Սասունիկ","80,000 ֏ monthly",AMD,"A 3-room apartment is for rent in the village of Sasunik. 3 bedrooms, a large terrace, a small balcony, sunny side, it is a furnished house. Call people who agree to rent, with 3 months advance payment.Translated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18541627
Stone,No,Not available,5,48 sq.m.,1,1,from 2.8 m,3,Closed balcony,Available,Cosmetic Renovation,3,Yes,No,Not included,1 month,Aragatsotn › Aparan,"80,000 ֏ monthly",AMD,"One-room apartment is for rent, clean, bright, sunny. It is furnished and has all utilities. The apartment is located in Aparan city, next to Gntunik, you can also call the indicated phone numberTranslated from Armenian",Nov-27-2022_18-52,,,,,,https://list.am/en/item/18558286
