Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Address,Price,Currency,Description,Datetime,Furniture,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Parking,Amenities,Appliances,Window Views,The House Has,Links
Stone,Yes,Not available,4,70 sq.m.,2,1,from 3 m,1,Not available,Major Renovation,"Baghramyan street, Vagharshapat","10,000 ֏ daily",AMD,"The apartment is designed for 3-4 people.Very nice, bright and comfortable apartment in the center of Etchmiadzin. The apartment is newly renovated and uninhabited.Completely renovated with all utilities and appliancesConstant hot and cold water,Baxi heatingRefrigeratorWashing machineDishLinenHouse TV channels and Wifi.For more information call:Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/15825923
Stone,No,Not available,5,45 sq.m.,2,1,from 2.7 m,5,Closed balcony,Cosmetic Renovation,"Mesrop Mashtotsi St, Vagharshapat","200,000 ֏ monthly",AMD,"A 2-room apartment is for rent in the center of Etchmiadzin, in a stone building next to the Square, on the 5th floor.Has all utilities, property, taxiTranslated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/18286265
Stone,No,Not available,5,80 sq.m.,3,1,from 2.7 m,2,Open balcony,Designer Renovation,Armavir › Echmiadzin,"150,000 ֏ monthly",AMD,"AS121:K. A 3-room apartment on the 5th/2nd floor is for rent in the Charents district of Etchmiadzin. The apartment has old repairs, but is in a clean condition. A heating system is installed, property and equipment are available. You can rent the apartment until June. The cost is AMD 150,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,7.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/18374784
Stone,No,Not available,5,96 sq.m.,2,1,from 2.7 m,1,Closed balcony,Designer Renovation,Armavir › Echmiadzin,"230,000 ֏ monthly",AMD,"From January 1, 2023Not far from the center of Etchmiadzin, a 4-room apartment is for rent on the first floor of a 2-story stone building. It has a balcony, air conditioning, expensive furniture and appliances, a tiled bathroom, another separate entrance, closets, a garage, etc. Deposit and commission required.Daily wage: 20,000.Code 7587Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/17610922
Stone,No,Not available,5,69 sq.m.,3,1,from 2.75 m,2,Open balcony,Euro Renovation,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,"250,000 AMD for rent3-room apartmentEchmiadzin in the Central part50% commissionUtilitiesThe floor will be heatedWith property, equipmentCode VA002Translated from Armenian",Nov-24-2022_17-51,,2.0,Yes,Yes,Not included,Without prepayment,,,,,,https://list.am/en/item/14182352
Stone,No,Not available,5,80 sq.m.,3,1,from 2.75 m,4,Not available,Partial Renovation,Armavir › Echmiadzin,"170,000 ֏ monthly",AMD,"170,000 AMD for rent3-room apartmentEchmiadzin in the Central partOn Mashtots street50% commissionUtilitiesWith property, equipmentTranslated from Armenian",Nov-24-2022_17-51,,5.0,Yes,Yes,Not included,Without prepayment,,,,,,https://list.am/en/item/15343929
Stone,Yes,Not available,5,68 sq.m.,3,1,from 2.7 m,3,Open balcony,Major Renovation,Armavir › Echmiadzin,"200,000 ֏ monthly",AMD,"AS106:K. A 3-room apartment on the 5th/3rd floor is for rent on Khorenatsi street in Etchmiadzin. The apartment is provided with all utilities, property, equipment and heating system are available. The cost is AMD 200,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,3.0,Yes,Yes,Not included,By Agreement,,,,,,https://list.am/en/item/17573611
Stone,Yes,Not available,5,60 sq.m.,2,1,from 2.8 m,3,Open balcony,Designer Renovation,"Mesrop Mashtots street 10, Vagharshapat","15,000 ֏ daily",AMD,"An apartment is for rent in the center of Etchmiadzin2 rooms, possible for daily rent (15,000 AMD),thoroughly reconstructed,has all the utilities,Equipped with property and equipmentwindows and doors of European production,the bathroom is tiledconstant hot and cold water,there are 2 air conditioners,open balcony.Translated from Armenian",Nov-24-2022_17-51,Available,4.0,No,No,Not included,3 months,,,,,,https://list.am/en/item/17509528
Panels,,,5,72 sq.m.,2,1,from 3.5 m,1,,Major Renovation,"Baghramyan street, Vagharshapat","10,000 ֏ daily",AMD,"Շատ գեղեցիկ, լուսավոր և հարմարավետ բնակարան Էջմիածին քաղաքում: Բնակարանը նոր վերանորոգված է և չբնակեցված:Կապիտալ վերանորոգված բոլոր կոմունալ հարմարություններով:House TV հեռուստատեսություն 113 ալիք:Մանրամասների համար զանգահարել:IphoneSamsungHomeNokia",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/14553336
Stone,Yes,Not available,4,70 sq.m.,2,1,from 2.5 m,1,Not available,Major Renovation,"Baghramyan street, Vagharshapat","10,000 ֏ daily",AMD,"The apartment is designed for 3-4 people.Very nice, bright and comfortable apartment in the center of Etchmiadzin. The apartment is newly renovated and uninhabited.Completely renovated with all utilities and appliancesConstant hot and cold water,Baxi heatingRefrigeratorWashing machineDishLinenHouse TV channels and Wifi.For more information call:77400097.98080461.98080467.93491011Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/15653866
Stone,No,Not available,5,72 sq.m.,2,1,from 3 m,1,Closed balcony,Major Renovation,"Baghramyan street, Vagharshapat","10,000 ֏ daily",AMD,"The apartment is designed for 3-4 people.Very nice, bright and comfortable apartment in the center of Etchmiadzin. The apartment is newly renovated and uninhabited.Completely renovated with all utilities and appliancesConstant hot and cold water,Baxi heatingRefrigeratorWashing machineDishLinenHouse TV channels and Wifi.For more information call:77400097.98080461.98080467.93491011Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/18244323
Stone,No,Not available,4,72 sq.m.,2,1,from 3 m,1,Not available,Major Renovation,"Baghramyan street, Vagharshapat","10,000 ֏ daily",AMD,"The apartment is designed for 3-4 people.Very nice, bright and comfortable apartment in the center of Etchmiadzin. The apartment is newly renovated and uninhabited.Completely renovated with all utilities and appliancesConstant hot and cold water,Baxi heatingRefrigeratorWashing machineDishLinenHouse TV channels and Wifi.Translated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/18298093
Stone,No,Not available,5,70 sq.m.,2,1,from 3 m,3,Not available,Major Renovation,"Vazgen Arajin street, Vagharshapat","45,000 ₽ monthly",RUB,"Сдается квартира в городе Эчмиадзин, на улице Вазгена первого. Капитальный ремонт, имеет все коммунальные услуги (постоянная горячая и холодная вода, кондиционер, Wi-Fi при необходимости! Ежемесячная плата 45 000 рублей.",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/18282135
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,1,Closed balcony,Designer Renovation,"Movses Khorenatsi Street, Gyumri","180,000 ֏ monthly",AMD,"Сдаётся без посредников на длительный срок 2 комнатная квартира расположенная в 58-ой Квартале.Общая площадь составляет 65кв. М.Природный газ, постоянная горячая и холодная вода. Отопление BaxiВ квартире есть: Спальня, ванная комната, туалет, кухня (посуда), отопление, теплый пол, стиральная машина-автомат, холодильник, газовая плита, LCD телевизор.Translated from Armenian",Nov-24-2022_17-51,Available,4.0,Yes,No,Not included,1 month,OUtdoor parking,"TElevision, internet","FRidge, washing machine, iron",,,https://list.am/en/item/17914731
Stone,No,Not available,5,80 sq.m.,3,1,from 2.7 m,2,Closed balcony,Major Renovation,Armavir › Echmiadzin,"250,000 ֏ monthly",AMD,"AS129:K. A 3-room apartment on the 5th/2nd floor is for rent on Mashtots Street in Etchmiadzin. The apartment is completely renovated, there is an air conditioner, dishes and bed. The cost is AMD 250,000.Agency address - c. Etchmiadzin, Baghramyan 18a/1bTranslated from Armenian",Nov-24-2022_17-51,Available,3.0,Yes,Yes,By Agreement,1 month,,,,,,https://list.am/en/item/18371240
Stone,No,Not available,5,64 sq.m.,2,1,from 2.8 m,2,Not available,Partial Renovation,"Baghramyan street, Armavir","60,000 ֏ monthly",AMD,Partly furnished with all utilitiesTranslated from Armenian,Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/17469875
Stone,No,Not available,5,60 sq.m.,2,1,from 2.8 m,3,Not available,Partial Renovation,"Charents street, Armavir","80,000 ֏ monthly",AMD,"The apartment is in good condition, furnished and provided with all utilitiesTranslated from Armenian",Nov-24-2022_17-51,,,,,,,,,,,,https://list.am/en/item/17094117
Stone,No,Not available,5,70 sq.m.,2,1,from 2.8 m,1,Open balcony,Euro Renovation,"Trdat Architector street, Gyumri","120,000 ֏ monthly",AMD,"Վարձով է տրվում 2 սենյականոց բնակարան ք. Գյումրիյում (квартал Ани) ։ Ապահովված է կոմունալ հարմարություններով։ Մանրամասների համար զանգահարել ։Сдается 2-х комнатная квартира в г. В Гюмри. (Квартал Ани) Оснащена всеми коммуникациями (отопление, горячая и холодная вода, стиральная машина автомат, холодильник, телевизор, комнаты меблированы), подробности по телефону.Կոդ Dr123Translated from Armenian",Nov-24-2022_17-51,Available,4.0,Yes,No,Not included,By Agreement,,"TElevision, internet, parking space","FRidge, washing machine, iron","YArd view, street view",,https://list.am/en/item/17872723
