Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Renovation,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Furniture,The House Has,Parking,Amenities,Appliances,Window Views,Links
Stone,No,Not available,3.0,30 sq.m.,2.0,1.0,from 2.6 m,2.0,Open balcony,Major Renovation,3,Yes,Yes,By Agreement,By Agreement,"Nairyan Street, Sevan town","10,000 ֏ daily",AMD,"Սևան քաղքի կենտրոնում շուկայի մոտ լճից հեռու է 800-մետր, երեք հարկանի շենքի երրկրորդ հարկում տրվում է օրավարձով մեկ սենյականոց երկուս դարձրաց կապիտալ վերանորոգված ունի բոլոր կոմունալ հարմարություները, ինտերնետ, wiFi-ով և սպասքով։ 10000-15000դրամ, տեղադըրված է նաև ջեռուցման համակարգ ։Сдаёься квартира в городе Севан, недалеко от озеро, на улице Наирян 143,кв. 20Кв. Двухкомнатная. Капитально ремонтировано, со всеми удобствами. 10000-15000 драм.",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17858399
Stone,Yes,Not available,1.0,105 sq.m.,4.0,1.0,from 2.7 m,1.0,Open balcony,Cosmetic Renovation,8+,Yes,Yes,By Agreement,By Agreement,Gegharkunik › Chambarak,"5,000 ֏ daily",AMD,Private house in Dprabak community for daily rent.The guest house has all the amenities1. 3 bedrooms2.1 living room3. Bathroom4. Constant hot and cold water5. Kitchen6. Dishes7. Outdoor pavilion (gazebo) with all its facilities.For details + + +#хкнаг#beautiful#nature#clean#air#home#guest house#house#kids#joy#Translated from Armenian,Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/18131804
Stone,No,Not available,3.0,40 sq.m.,2.0,1.0,from 2.7 m,3.0,Open balcony,Partial Renovation,4,Yes,No,Not included,2 months,"Ազատության փողոց 21, Գավառ","80,000 ֏ monthly",AMD,"2 rooms for rent, spacious, provided with all communal facilities, the apartment is located on Azatutyan street. The apartment is on the 3rd floor of a stone building.The house is provided with all the necessary amenities.• Constant hot-cold water, gas• Ideal cleanliness• Renovated• The bathroom is tiled• Open balcony with a beautiful view.The apartment is for long-term rent.In case of short term, the apartment will be rented daily.Translated from Armenian",Nov-24-2022_17-51,Available,,,,,,https://list.am/en/item/15146098
Stone,No,Not available,3.0,37 sq.m.,1.0,1.0,from 3 m,3.0,Open balcony,Old Renovation,,,,,,Gegharkunik › Sevan,"10,000 ֏ daily",AMD,"Apartment for rent in the city of Sevan, near the market. 1 day with the specified amountTranslated from Armenian",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/18108771
Stone,Yes,Available,9.0,90 sq.m.,3.0,1.0,from 2.8 m,3.0,Closed balcony,Major Renovation,,,,,,Gegharkunik › Sevan,"14,000 ֏ daily",AMD,"Уютная квартира с евроремонтом в самом центре города Севан для посуточной или длительной аренды. В студии есть спальное место для 2 взрослых людей и детская раскладушка, вся бытовая техника: Телевизор, стиральная машина, микроволновка, газовая плита, холодильник, утюг, пылесос, проведен скоростной интернет. Красивая и удобная мебель.До аэропорта 74 км, до города Дилижан 35 км. До пляжа - 2,8 км. До ботанического сада - 1,8 км. До монастыря Севанаванк - 8 км.Очень живописные окрестности, множество достопримечательностей и маршрутов для прогулок и экскурсий. На первом этаже дома магазинчики, всегда можно купить свежую рыбу (форель, сиг) и овощи, фрукты; салон связи.Рядом отделения банков, магазины, пункты обмена валюты, больница.В квартире тепло, светло, чисто, хорошая звукоизоляция, соседей не слышно.Готовы рассмотреть клиентов с детьми или домашними животными.При долгосрочной аренде возможно скорректировать стоимость проживания.",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17886964
Stone,No,Not available,5.0,52 sq.m.,2.0,2.0,from 3 m,1.0,Closed balcony,Cosmetic Renovation,4,Yes,No,Included,By Agreement,"Գրիբոեդով փողոց 5, Սևան","50,000 ֏ monthly",AMD,"Commercial space in 4 micro-neighborhoods is for urgent rent; The area has all utilities and three-phase electricity. With its comfort, the space can serve as a workshop, shop, beauty salon. It is also possible to exchange with a 3-room apartment for an additional fee from me.Translated from Armenian",Nov-24-2022_17-51,Not available,,,,,,https://list.am/en/item/18085897
Stone,No,Not available,5.0,77 sq.m.,3.0,1.0,from 2.7 m,1.0,Closed balcony,Major Renovation,,,,,,"Улица Налбандяна 49, Севан","150,000 ֏ monthly",AMD,"В самой квартире всё чистенько, ухоженно и обжито (в хорошем смысле)) Вода, газ, электричество.Имеется всё и работает безотказно: Газовый котёл для обогрева помещения, газовая печка и плита, вытяжка, вся сантехника и проводка - всё в норме. Нет только лишь стиральной машины.Мебель в наличии вся: Кровати, диваны, кресла, столы и стулья, серванты, шкафы и тумбы - всё в отличном состоянии + матрасы, подушки, одеяла и покрывала.Большой плазменный телевизор, ну и конечно же ВайФай, и очень даже мощный. Так же имеется абсолютно пригодный для использования камин, да-да, камин))) Фотографии по вашему запросу)Коммуналка по счетчикам.Обязятелен депозит: 100 000 др.",Nov-24-2022_17-51,,,,,,,https://list.am/en/item/18367861
Stone,Yes,Not available,1.0,80 sq.m.,3.0,1.0,from 2.8 m,1.0,Open balcony,Designer Renovation,8+,Yes,Yes,Included,Without prepayment,Gegharkunik › Sevan,"15,000 ֏ daily",AMD,"Still haven't decided where to celebrate the New Year?We have free timeThe house will be available from #December 3️1️ to #January 0️4️.Please call to get acquainted with New Year's packagesThe mansion has2 bedrooms1 spacious living room1 kitchen1 bathroomSpacious yardNatural fireplaceMangalPool cottage daily rent with black fireplaceAutumn 50% discountUnheard of low price3-room cottage for daily rent in Sevan, Lavanda city recreation areaFurnished, clean, property, appliances, disheswith all amenitiesSpend your vacation in a cozy corner of Sevan.The house is designed for up to 5 people, it has:2 bedrooms1 large living roomBathroomKitchenBathroomBalconyIt is also equipped with all the necessary accessories.HURRY PLACES ARE LIMITED!You can call for reservationSpend your vacation in a cozy and comfortable corner of Sevan.#LavandaCity Who?Lavender City, lavender sitiWe have discounts for two or more daysCottages for daily rent1 furnished living room,WIFI is available in the cottages2 bedroomskitchenwith all necessary accessories,One bathroom.It has a balcony.It is equipped with necessary dishes and linen.With a heating systemPlayground.Summer pavilion.Necessary accessories for grilling and grilling.Parking lot.We have discounts for 2 or more daysGuard post.#vacationers#rest house#Family rest#The best place for family vacation#houses for daily rent#per day#rental house#Sevanum house for rent#Sevanalich:#lakesvan#oravardzorqotejner#oravarcovsevanumqotejner#sevanumcottage#SevanumDayRentalCottagesTranslated from Armenian",Nov-24-2022_17-51,Available,"COncierge, playground",OUtdoor parking,TElevision,"FRidge, stove, coffee maker, water heater, iron, hair dryer","YArd view, park view",https://list.am/en/item/18021203
Stone,Yes,Not available,1.0,45 sq.m.,3.0,1.0,from 2.5 m,1.0,Open balcony,Euro Renovation,,,,,,"M-10 13, Tsovazard","15,000 ֏ daily",AMD,Holiday house next to the lake Two rooms in very good condition with a hut with a bathroom All amenities are very convenient for relaxing Two hundred meters from Lake Sevan for a long stay possible at an affordable priceTranslated from Armenian,Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17964738
Stone,No,Not available,5.0,83 sq.m.,3.0,1.0,from 2.8 m,2.0,Closed balcony,Major Renovation,6,Yes,No,Not included,1 month,"Եղիշե Չարենցի փողոց 46, Վարդենիս","80,000 ֏ monthly",AMD,Renovated and uninhabited. Has heating system. FurnishedTranslated from Armenian,Nov-24-2022_17-51,,,,,,,https://list.am/en/item/17299761
