Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Amenities,Appliances,Window Views,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,The House Has,Parking,Links
Stone,No,Not available,5,65 sq.m.,2,1,from 2.8 m,5,Open balcony,Available,Major Renovation,"INternet, parking space","FRidge, stove, washing machine, water heater, iron","YArd view, street view, city view, park view",6,Yes,Yes,Not included,2 months,"Hanrapetutian Avenue 36, Abovyan","250,000 ֏ monthly",AMD,"2 rooms with niche. Gas, water, heating.It is located in the center of Abovyan city.Completely newly renovated.Будет с животным + 100.000Payment to beggar and beggar in the month.Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18325354
Stone,Yes,Available,8,60 sq.m.,2,1,from 2.8 m,2,Open balcony,Available,Major Renovation,,,,6,Yes,No,Not included,Without prepayment,"Խաչիկ Մուրադյանի փողոց 11, Ծաղկաձոր","25,000 ֏ daily",AMD,"2-room apartment for daily rent in Mori Plaza, Tsaghkadzor. It is equipped with necessary equipment and furniture (refrigerator, dishwasher, high-quality Smart TV, washing machine)The apartment has all the amenities for your perfect vacation.There is also Internet, WI-FI, central heating system (Baxi), outdoor parking space, as well as an open balcony with a beautiful view of the beautiful nature.The building has an elevator, reception, security.The apartment can also be provided with a monthly payment of 550,000 AMD per month.Enjoy your stay in our welcoming apartment. We are waiting for you with love.House Tsaghkadzor. Tsaghkazdor luxury apartmentTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18057925
Stone,Yes,Available,8,48 sq.m.,2,1,from 3 m,4,Open balcony,,Major Renovation,,,,4,Yes,No,By Agreement,By Agreement,"Khachik Muradyan Street 3, Tsaghkadzor","18,000 ֏ daily",AMD,"Ծաղկաձորում, առամց միջնորդի վարձով է տրվում 2 սենյականոց բնակարան նորակառույց բազմաֆունկցիոնալ Ալվինա կոմպլեքսում (Alvina complex) ։ Բնակարանը անբողջությամբ կահավորված է և նախատեսված է ընտանեկան հաճելի հանգստի համար։ Ունի բաց պատշգամբ, որից բացվում է գեղեցիկ տեսարան։ Գործում է 3 վերելակ։ Տարածքում է գտնվում Ծաղկաձորի բոլոր գեղատեսիլ վայրերը՝ Կեչարիս եկեղեցին, ճոպանողին, զիպլայն, սպորտբազան, Յասաման և Փուռ ռեստորանները, դեղատուն, խանութներ և այլն։Բնակարանում առկա է՝*երկտեղանոց մահճակալ,*բազմոց, որը բացվում է*սմարթ հեռուստացույց*լվացքի ավտոմատ մեքենա*սառնարան,*միկրոալիքային վառարան*էլետրական պլիտա,*թեյնիկ,*խոհանոցային և անկողնային անհրաժեշտ պարագաներ,*ջեռուցում,*ապահովված է տաք և սառը ջրով,*Wi-FiԵրկարաժամկետ արժեքը-1000$Կախված օրերի քանակից հնարավոր են զեղչեր։Քաղաք Ծաղկաձոր, City Tsaghkadzor, город Цахкадзор.В новом жилом комплексе в Цахкадзоре сдается в аренду 2-х комнатная квартира (48кв. М.) с болконом видом на горы и леса. Имеются все удобства. В Цахкадзоре- 35минут от Еревана. Это аппартамент 5 звездочного оттелья.Квартира находится рядом с церковью Кечарис. Квартира недавно отремонтирована в 2022г. Имеется двуспальная кровать, а так же в основной комнате установлен диван-кровать. Предусмотрены все удобства для полноценного проживания.-Apartment for rent (for 3-4persons) in the Tsaghkadzor, near the church Kecharis. The apartment is newly (2022) There is a bedroom for two, and a sofa for two persons.#Tsaghkadzor_Alvina_ComplexՀյուրանոցՀյուրատունՕրավարձՆորակառուցՇենքՀամալիրՀանգստյան գոտի",Nov-24-2022_16-44,,,https://list.am/en/item/17754279
Panels,Yes,Available,12,32 sq.m.,1,1,from 2.8 m,3,Open balcony,,Major Renovation,,,,4,Yes,No,By Agreement,By Agreement,"Antarayin 1st blok 10, Tsaghkadzor","25,000 ֏ daily",AMD,"Сдается 1-комнатная квартира с ремонтом в Цахкадзоре, в элитном здании «Кечи Хаус».Рядом находится:️ Магазин️ Центр оленеводства️Зиплайн️ Монастырский комплекс КечарисВ квартире есть все необходимые удобства:• Постоянная горячая и холодная вода,• ТВ, Wi-Fi,• Холодильник,• Посуда, постельное белье,• Кухонная утварь,• Открывающийся балкон,• Парковка: Открытая и закрытая,• Безопасность 24/7,В номере вы можете найти информационную книгу, которая поможет вам легко организовать ваши развлечения.В месяц: 650 000 драмВ день: 25 000 драмМинимальное количество дней: 2 дня.Скидки действуют от 5 дней и более.Выбрав нас, вы получите ряд скидок в различных развлекательных заведениях Цахкадзора.Наш Инстаграм: @Comfyhome41—english—️In Tsaghkadzor's Kechi House complex, a newly restored one-bedroom apartment is available for daily rental.Nearby available:️ Shop️ Deer breeding center️Zipline️ Kecharis Monastery complexThe apartment includes  all the required amenities:• Permanent hot and cold water,• TV, Wi-Fi,• Refrigerator,• Dishes, linens,• Kitchen utensils,• Open balcony,• Parking: Open and close,• Security 24/7,In the room, you can find an information book that will help you easily organize your day.Monthly: 650,000 AMDDaily wage: 25,000 AMDMinimum number of days: 2 days.Discounts apply for 5 or more days.By choosing us, you will receive several discounts at numerous Tsaghkadzor entertainment venues.—Հայերեն—️Օրավարձով է տրվում 1 սենյականոց վերանորոգված բնակարան Ծաղկաձորի Կեչի հաուս շենքում։Մոտակայքում գտնվում է.️Խանութ️Եղնիկների բազմացման կենտրոն️Զիփլայն️Կեչառիս Վանական համալիրԲնակարանում առկա են բոլոր անհրաժեշտ հարմարությունները՝• Մշտական տաք և սառը ջուր,• TV, Wi-Fi,• Սառնարան,• Սպասք, սպիտակեղեն,• Խոհանոցային պարագաներ,• Բացվող պատշգամբ,• Ավտոկայանատեղի` Բաց և փակ,• Անվտանգություն 24/7,Սենյակում կարող եք գտնել ինֆորմացիոն գիրք, որը կօգնի Ձեզ հեշտ կազմակերպել Ձեր ժամանցը:Ամսական՝ 650.000 դրամՕրավարձ՝ 25.000 դրամՆվազագույն օրերի քանակ՝ 2 օր:5 և ավելի օրերի դեպքում գործում է զեղչեր:Ընտրելով մեզ՝ կունենաք մի շարք զեղչեր Ծաղկաձորի տարբեր ժամանցային վայրերում:Instagram։ Comfyhome41Translated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18334204
Stone,Yes,Available,9,50 sq.m.,2,1,from 2.5 m,2,Open balcony,Available,Major Renovation,,,,6,Yes,Negotiable,Not included,By Agreement,"Khachik Muradyan Street 3, Tsaghkadzor","350,000 ֏ monthly",AMD,"Сдается полностью отремонтированная 2-комнатная квартира в Цахкадзоре, на 3 и 7 этаже многофункционального комплекса Альвина. Свежий ремонт, Квартира в идеальном состоянии, есть отаплениe и интернет.Квартира сдается минимум на 6 месяцев.Տրվում է վարձով կապիտալ վերանորոգված 2 սենյականոց բնակարան Ծաղկաձորում, Ալվինա բազմաֆունկցիոնալ համալիրի երորդ և յոթերորդ հարկում։ Նոր վերանորոգված և չբնակեցված։ Գտնվում է իդեալական վիճակում։ Բնակարանը ջեռուցվում է կա ինտերնետ։Տրվում է բնակարանը վարձով մինիմալը 6 ամսով:",Nov-24-2022_16-44,,,https://list.am/en/item/18249973
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,"TElevision, air conditioner, internet, parking space","FRidge, coffee maker, washing machine, water heater","YArd view, street view, city view, park view, view of ararat",4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zipline, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestTranslated from Armenian",Nov-24-2022_16-44,"COncierge, playground",OUtdoor parking,https://list.am/en/item/18195824
Monolith,Yes,Available,8,48 sq.m.,1,1,from 3 m,8,Not available,Available,Major Renovation,,,,3,Yes,No,Not included,By Agreement,"Khachik Muradyan Street 3, Tsaghkadzor","19,000 ֏ daily",AMD,"Վարձով է տրվում 2 սենյականոց բնակարան Ծաղկաձորում, Ալվինա բազմաֆունկցիոնալ համալիրում (Alvina Complex) : Բնակարանն կապիտալ վերանորոգված է և չբնակեցված, ունի կոմունալ բոլոր հարմարությունները: Բնակարանը շատ լուսավոր է, պատուհանից բացվում է գեղեցիկ տեսարան: Բնակարանը գտնվում է Կեչառիս եկեղեցուց մոտ 800մ հեռավարության վրա, մոտակայքում է գտնվում նաև սպորտ բազան, զիփլայնը, ճոպանուղին և այլ հանրային վայրեր:Բնակարանում առկա է՝*երկտեղանոց մահճակալ*բազմոց, որը բացվում է*սմարթ հեռուստացույց*լվացքի մեքենա*սառնարան*էլեկտրական սալիկ*թեյնիկ*խոհանոցային և անկողնային անհրաժեշտ պարագաներ*կենտրոնացված ջեռուցում*ապահովված է տաք և սառը ջրով*Wi FiОրական 18,000 դրամից 25000 դրամ, կախված ամրագրման օրերի քանակից:350 000դրամ ամսականՔաղաք Ծաղկաձոր, City, город Цахкадзор.В новом жилом комплексе в Цахкадзоре сдается в аренду 2 комнатная квартира (48кв. М) видом на горы и леса. Имеются все удобство. Это аппартамент 5 звездочного оттелья.Квартира находится рядом с церковью Кечарис. Квартира недавно отремонтирована в 2022г. Имеется двухспальная кровать, а так же установлен диван-кровать. Предусмотрены все удобства для полноценного проживания.350 000 драм в месяц,-2-room apartment is for rent without broker in the newly built multifunctional Alvina complex in Tsakhkadzor city. The apartment is furnished and it is intended for a pleasant family rest. It has a beautiful view from the window. There are 3 elevators. All the beautiful places of Tsakhkadzor are located in the area: Kecharis church, Zipline, Sports base, Yasaman and Pure restaurants, Pharmacy, shops և etc.The apartment has:* double bed,* sofa that opens* smart TV* Automatic washing machine*refrigerator,* electric plate,* kettle,* kitchen և bedding necessary items,* heating,* hot and cold water,* Wi-Fi:ՀյուրանոցՀյուրատունՕրավարձՆորակառուցՇենքՀամալի",Nov-24-2022_16-44,,,https://list.am/en/item/17920079
Monolith,Yes,Available,8,52 sq.m.,2,1,from 3 m,3,Open balcony,Available,Designer Renovation,,,,4,Yes,No,Included,By Agreement,Kotayk › Tsakhkadzor,"17,000 ֏ daily",AMD,"(WITHOUT INTERMEDIARY)Suit Rest Tsaghkadzor invites newlyweds (and not only) to spend your vacation in this newly built apartment.* It is located next to Sportbaza and Mori Plaza.Distance from the center - 800 m, from Kecharis Church - 500 m, from Shangri-La Casino - 300 m, from the cable car - 2.5 km.* 1 bedroom (double bed)* If you book 3 days or more, there will be significant discounts* preferred destination for newly married couples* Centralized heating* Constant hot and cold water* Dishes, bedding* household items* TV, wi-fi + TV Ucom* free of charge* folding sofa* there are 3 elevators 3 elevators* parking lotP. S. It is a priority for us.1. The comfort of our guests2. Purity3. The warmth and your smile.The house can accommodate up to 4 people overnight.* There will be discounts for 3 or more daysCheck in (entrance) – 13:00Check out - 11:00We will be happy to ensure your comfortable and pleasant stay.All the beautiful places of Tsaghkadzor are located in the area: Kecharis church, ropeway, zip line, sports base, ""Panarama"", ""Yasaman"" and ""Pur"" restaurants, pharmacy, shops, etc.* The apartment is very bright, has a beautiful view of the beautiful nature.City Tsaghkadzor, City Tsaghkadzor, город Цахкадзор. Hotel, Alvina complex.The guest houseDaily wageNew constructionA buildingComplexRestCode AlvinaTranslated from Armenian",Nov-24-2022_16-44,,,https://list.am/en/item/18288660
Stone,No,Not available,5,48 sq.m.,2,1,from 2.8 m,3,Closed balcony,,Cosmetic Renovation,,,,,,,,,"Zoravar Andranik avenue, Hrazdan","60,000 ֏ monthly",AMD,Medium condition furnished bax system long termTranslated from Armenian,Nov-24-2022_16-44,,,https://list.am/en/item/17156197
Monolith,Yes,Not available,1,42 sq.m.,2,1,from 3 m,1,Not available,,Euro Renovation,,,,,,,,,"Սիրող Սրտեր բնակելի թաղամաս 77/27, Ձորաղբյուր","150,000 ֏ monthly",AMD,"Ջրվեժում Սիրող Սրտեր բնակելի թաղամասի դիմաց վարձով են տրվում 2 սենյականոց բնակարաններ (ընդհանուր մակերերսը 42 ք/մ) ։Բնակարանները կապիտալ վերանորոգված են և չբնակեցված, ապահովված են կոմունալ բոլոր հարմարություններով: Տրվում են տեխնիկայի և կահույքի հետ միասին, ինչպես նաև անվճար ինտերնետ կապով/TV-ով: Տարածքը կանաչապատ է և ունի շուրջօրյա հսկողություն։Բնակելի թաղամասւմ գործելու է նաև անվճար ֆիթնես դահլիճ բնակիչների համար, տարածքում առկա է մինի մարկետ և հացի փուռ:Գինը՝ 150.000 դրամ։Сдаются 2-комнатные квартиры (общая площадь 42 кв/м) напротив жилого массива Сирох Сртер в Джрвеже.Квартиры полностью отремонтированы, обеспечены всеми коммуникациями. Сдается с техникой и мебелью и бесплатным подключением к интернету/ТВ. Территория озеленена и находится под круглосуточным наблюдением, в жилой зоне также будет бесплатный фитнес-зал для жильцов, на территории есть минимаркет и пекарня.Цена: 150 000 драм.При договоре на 1 год оплачивается 1-й и последний месяц. То же самое с контрактом на 6 месяцев, но цена будет 200 000 драм, а на 3 месяца 250 000 драм.",Nov-24-2022_16-44,,,https://list.am/en/item/18245339
