Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Parking,Appliances,Window Views,The House Has,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Stone,No,Not available,5,103 sq.m.,5,1,from 2.75 m,5,Multiple balconies,Not available,No Renovation,Armavir › Echmiadzin,"$38,000",USD,"Stone building, apartment in Zvartnots, old renovation. There is gas.103 square meters.The roof is newly renovated, replaced with tin.Negotiable.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17923733,,,,,,
Stone,No,Not available,5,52 sq.m.,1,1,from 2.8 m,5,Closed balcony,Available,Old Renovation,"Charents street, Armavir","$36,000",USD,"A large one-room apartment is for sale in a five-story stone building with a niche, with an area of 52 square meters. It faces the sun and has all the utilities. For sale with or without property. Charents 7th floor NOT FOR RENT has garage spaceTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/15434355,,,,,,
Stone,No,Not available,3,65 sq.m.,3,1,from 3 m,3,Closed balcony,Not available,Major Renovation,"Hanrapetutyun street 35, Armavir","$67,000",USD,"In the center of the city, completely renovated with a raised ceiling, the roof has just been changed. The house is sold together with the property. Also a stone garage that is being sold with the house. Call for questions.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16799335,,,,,,
Panels,No,Available,9,69 sq.m.,2,1,from 2.75 m,4,Not available,Not available,Designer Renovation,"2 block, Metsamor","$45,000",USD,"The apartment is ready for occupancy, absolutely no work to be done. Renovated with expensive building materials, completely changed project. 2 into 3, access to all rooms from a spacious corridor. High-quality heating system. Walls and floor are thermally insulated. Sold with kitchen furniture. Yard is green with pavilions, with a large parking lot. The elevator always works without interruption. The price is not negotiable. The price is written, don't call, ask for the price and say it's expensive. 68.9 square meters of living space.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18344451,,,,,,
Stone,No,Not available,2,80 sq.m.,4,1,from 2.8 m,1,Not available,Not available,Partial Renovation,Armavir › Merdzavan,"$50,000",USD,"4-room apartment for sale in the center of Merdzavan, on the ground floor of a 2-storey stone building. The entrance door to the apartment is iron, the windows are of European production, the electric wires and water pipes are changed, it has an individual heating system, there is a storage room, it is provided with all the communal facilities.In front of the apartment there is a plot of land, a parking lot, on the other side there is an orchard of 100 square meters. The whole area is fenced.School, kindergarten, various shops are nearby, very close to the bus stop.The capital repairs of the apartment have been done, the cosmetic repairs are left.Call the listed phone numbers for details.CODE 05:Code Code05Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/17803530,,,,,,
Panels,Yes,Not available,5,90 sq.m.,4,1,from 2.75 m,3,Closed balcony,,Euro Renovation,"1district, Metsamor","22,000,000 ֏",AMD,The apartment is sold together with the entire property.Furniture.Bedroomsof the guest roomcorridorof the kitchenProperty:Refrigeratorfreezerwashing machinecomputerair conditionertelevision°The door of the palace is iron°Windows of iron production°Heating system with Vestel Italian boiler°Basement 13.4 m^2Translated from Armenian,Nov-25-2022_14-04,,,,,https://list.am/en/item/18306793,,,,,,
Stone,No,Not available,5,80 sq.m.,3,1,from 2.8 m,5,Closed balcony,Available,No Renovation,"Erevanyan street 40, Armavir","$45,000",USD,"3-room apartment is for sale in Armavir (Hoktemberyan), on the 5th floor of a stone building with an area of 80 square meters. It also has 2 basements. The roof has been changed, water windows are installed.(NOT FOR RENT Չ DO NOT CALL FOR EXCHANGE) Only real buyers will callTranslated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/16492307,,,,,,
Stone,No,Not available,3,38 sq.m.,2,1,from 2.7 m,3,Not available,,Euro Renovation,Armavir › Tairov,"$32,000",USD,Подробности по телефону.,Nov-25-2022_14-04,,,,,https://list.am/en/item/17891201,,,,,,
Stone,No,Not available,5,50 sq.m.,2,1,from 3 m,5,Not available,Not available,Major Renovation,"Charents street 17, Vagharshapat","$50,000",USD,"An apartment for sale in Charents district, 2 rooms, all utilities, the apartment is sold together with the property, it also has a chula.Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/18117588,,,,,,
Panels,No,Not available,5,82 sq.m.,4,1,from 2.7 m,3,Closed balcony,Available,Major Renovation,"Baghramyan street 24, Vagharshapat","$70,000",USD,"Echmiadzin Baghramyan 24, 3rd floor, with garage, near the polyclinic խանութ Persian shop, for sale together with the furniture, capitally renovated, the 4th room has been added with a sign, the windows are all changed euro, permanent water, gas, heating boiler (squirrel), new room furniture is the owner?Translated from Armenian",Nov-25-2022_14-04,,,,,https://list.am/en/item/14871562,,,,,,
