Construction Type,New Construction,Elevator,Floors in the Building,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Address,Price,Currency,Description,Datetime,Appliances,Window Views,The House Has,Parking,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Stone,No,Not available,3,97 sq.m.,3,1,from 3.2 m,1,Closed balcony,Available,Major Renovation,"Tigran Mets Avenue 13, Vanadzor","$45,000",USD,"Բնակարանը գտնվում է Վանաձորի կենտրոնում, վերանորոգված է, բնակարանի մակերեսը 79քմ է գումարծ 18քմ նկուղ, որի մուտքը տան մեջից է և կարող է դառնալ ևս մեկ սենյակ. Խնդրում եմ զանգահարել երեկոյան 8-ից հետո:Квартира расположена в центре Ванадзора, сделан ремонт, площадь квартиры 79 кв. М плюс 18 кв. М подвал, вход в который изнутри дома и может стать еще одной комнатой. Пожалуйста, звоните после 20:00.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18262901,,,,,,
Stone,No,Not available,4,60 sq.m.,3,1,from 3.2 m,3,Open balcony,Not available,Major Renovation,"Tigran Mets Avenue 63, Vanadzor","21,900,000 ֏",AMD,"In the heart of Vanadzor, at 63/31-2 Tigran Vaghdi Street (in the building of the gold shop), a 3-room apartment is for sale. Bn. On the 4th/3rd floor. The renovation was done with the highest quality materials, the apartment was not inhabited after the renovation. The building is one of the most solid and well-preserved buildings in the city, and the sale of the apartment is also considered with a mortgage option.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18119785,,,,,,
Stone,Yes,Not available,1,46 sq.m.,2,1,from 2.8 m,1,Not available,Available,Euro Renovation,"Տարոն-3 թաղամաս 1/1, Վանաձոր","6,000,000 ֏",AMD,"Վաճառվում է 2 սենյականոց բնակարան Վանաձորի Տարոն 3 թաղամասում։Մեկ հարկանի շինություն է, արևոտ է ու չոր։Բնակարանը վերանորոգված է, սանհանգույցը սալիկապատ, տեղադրված են եվրոպատուհաններ:ՈՒնի ավելացված շինություն, ինչպես նաև մեծ նկուղ, իսկ առջևում ավտոկայանատեղի։",Nov-25-2022_14-07,,,,,https://list.am/en/item/17090540,,,,,,
Stone,No,Not available,5,68 sq.m.,4,1,from 2.8 m,3,Multiple balconies,,Old Renovation,Lorri › Stepanavan,"$20,000",USD,"4-room apartment, Price is negotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17394108,,,,,,
Bricks,No,Not available,5,62 sq.m.,2,1,from 2.8 m,1,Open balcony,Available,Major Renovation,"Sukhumi street 1, Vanadzor","$22,500",USD,"2 rooms with niche. Completely renovated. Sold together with the property, Ariston heating system, European windows with bars, large basement, garage space for rent,The windows are 2.50 above the groundFor more information call.The house is in Bazum district,the moon-shaped usilitna of the bottom of the kindergarten.Translated from Armenian",Nov-25-2022_14-07,"FRidge, stove, washing machine",YArd view,,,https://list.am/en/item/17844874,,,,,,
Stone,No,Not available,5,40 sq.m.,2,1,from 2.75 m,5,Not available,Available,Cosmetic Renovation,"Կարեն Դեմիրճյան փողոց 21, Վանաձոր","8,000,000 ֏",AMD,"Karen Demirchyan Street 19, 17 flat 1 furnished 2 roomsFor sale, a building in the corner of the station park. , it is considered a center, please read it carefully, don't ask unnecessary questions, it doesn't have a niche, it is 40 square meters, it is what is in the picture, it is not in an emergency price, I have a place to go up and down, no, finally, Kirovakan is considered a cityTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17576925,,,,,,
Stone,No,Not available,2,77 sq.m.,4,1,from 3 m,2,Not available,,Old Renovation,Lorri › Vanadzor,"$35,000",USD,"The apartment is located next to the electricity network, it is bright on the side. There is a storage room at the back of the building. Batumi streetTranslated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/16712769,,,,,,
Stone,No,Not available,4,134 sq.m.,5,2,from 3.5 m,4,Closed balcony,By agreement,Major Renovation,"Տիգրան Մեծի պողոտա 67, Վանաձոր","$90,000",USD,"Two-story apartment! The apartment is located at Tigran Mec 67 Prospekt Tigran Mec 67 Prospekt, Tigran Mec 67 Prospekt, Vanadzor (on the sidewalk in front of the Pedagogical Institute, at the back of the Former Tashir Pizza) on 4 + 5 floors, renovated, has two bathrooms (both on the first and second floors), tank 800 l, jacuzzi, sunny side is open at all hours of the day, has windows to the prospect, the apartment has the possibility to increase, it also has a privatized storage room (chulan) right in the courtyard.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18149347,,,,,,
Stone,No,Not available,5,53 sq.m.,2,1,from 2.75 m,4,Open balcony,Not available,Cosmetic Renovation,"Tigran Mets Avenue, Vanadzor","$36,000",USD,Վաճառվում է բնակարան Տիգրան Մեծի պողոտա հասցեում։Վերանորոգված է,Nov-25-2022_14-07,,,,,https://list.am/en/item/18167218,,,,,,
Stone,No,Not available,5,53 sq.m.,2,1,from 2.75 m,4,Open balcony,,Cosmetic Renovation,"Tigran Mets Avenue, Vanadzor","$37,000",USD,Վաճառվում է երկու սենյականոց բնակարան Տիգրան Մեծի 48 հասցեում։Վերանորոգված է,Nov-25-2022_14-07,,,,,https://list.am/en/item/18166971,,,,,,
Stone,No,Available,2,240 sq.m.,6,2,from 3 m,2,Multiple balconies,Not available,No Renovation,"Ռուսթավի փողոց 3, Վանաձոր","$25,000",USD,"Շատ շտապ մանրամասների համար զանգահարել նշված համարին ընդանուր 240 մետր քառակուսի կից սեփական 295 մետր քառակուսի հողամաս բնակարանը բնակելի չէ վերանորօգման կարիք ունի սակարկելի շտապ По срочным подробностям звоните по указанному номеру, пристроена отдельная 240 кв. М, собственный участок 295 кв. М, дом требует ремонта, торг, срочно.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/16779468,,,,,,
Panels,Yes,Available,9,86 sq.m.,3,1,from 2.7 m,5,Open balcony,Available,Euro Renovation,Lorri › Vanadzor,"$52,000",USD,"The house is located in the center of the city, it is newly renovated, it has an individual heating system, hot and cold water, the windows have been changed, for other questions, call the indicated number.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/18293361,,,,,,
Panels,No,Not available,9,76 sq.m.,2,1,from 2.7 m,9,Open balcony,,No Renovation,"Sukhumi street 4, Vanadzor","$7,000",USD,2 Սենյականոց բնակարան Վանաձոր քաղաքումԲնակարանը ունի պարտադիր վերանորոքման կարիք,Nov-25-2022_14-07,,,,,https://list.am/en/item/15781601,,,,,,
Monolith,Yes,Not available,5,82 sq.m.,3,1,from 2.5 m,3,Multiple balconies,,Cosmetic Renovation,"Квартал Тарон-4 10, Ванадзор","$23,000",USD,"Продается крупногабаритная солнечная 3-х комнатная квартира со всеми удобствами. Имеется 2 балкона, один балкон застеклен. Имеется вся необходимая комуникация: Газ, вода, отопление. Остается вся необходимая мебель. Квартира в центре вся инфраструктура находится рядом: Садик, школа, магазины, остановка. Квартира в хорошем состоянии, заходи и живи! Торг уместен. По всем вопросам обращатся по телефону․ Квартира находится по адресу: Тарон 4,маш. 4/19",Nov-25-2022_14-07,,,,,https://list.am/en/item/18282912,,,,,,
Monolith,Yes,Not available,5,105 sq.m.,4,3+,from 2.75 m,1,Multiple balconies,,No Renovation,"Տարոն-2 թաղամաս 10-1, Վանաձոր","$27,500",USD,"4-room apartment is for sale on Taron 2 CS 53, on the 1st floor the condition of the apartment is 105 sq. M., the bedrooms are affordable ավետ the price is negotiable, it is possible to exchange it with a 3-room apartment near the city center only without extra charge it is possible to buy the apartment with a mortgage.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17426713,,,,,,
Panels,No,Available,9,86 sq.m.,4,3+,from 2.75 m,3,Closed balcony,,Partial Renovation,"Grigor Lusavorich street, Vanadzor","$62,000",USD,"A four-room apartment is for sale in Vanadzor, 86 sq. M., Karen Demirchyan street, 14 apartment is in excellent condition, the front door is iron, the corridor is tiled, all the meters are in place, for more information call the phone number mentioned in the announcement.Translated from Armenian",Nov-25-2022_14-07,,,,,https://list.am/en/item/17428388,,,,,,
Stone,No,Not available,2,100 sq.m.,4,1,from 2.7 m,1,Closed balcony,By agreement,Euro Renovation,"Շիրակացի փողոց 13, Վանաձոր","11,500,000 ֏",AMD,"Վաճառում եմ բնակարան Ք. Վանաձոր, Շիրակացի 13շ. 13բն. , գտնվում է «Խիմզավոդ» թաղամասում, այգուց 100մ դեպի վերև, վերանորոգված է ընդհանուր շատ լավ վիճակում է գտնվում, ետնամասում առկա է բացօթյա տաղավար, պահեստային դոմիկ, փոքր հող, 4 սենյակ, 100քմ. , մանրամասների համար զանգահարել….",Nov-25-2022_14-07,,,,,https://list.am/en/item/16417527,,,,,,
