Construction Type,New Construction,Elevator,Floors in the Building,The House Has,Parking,Floor Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Window Views,Address,Price,Currency,Description,Datetime,Type,Garage,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Appliances,Links,Amenities
Stone,No,Not available,4,PLayground,OUtdoor parking,64 sq.m.,3,2,from 2.7 m,1.0,Open balcony,Available,Designer Renovation,"YArd view, street view","Գայի փողոց 35, Դիլիջան","$50,000",USD,"Fully renovated and uninhabited apartment for saleOn the first floor of a stone building in Dilijan - with a separate entranceWater lands in the neighborhood, very nice yard.2 bedrooms, open spacious balcony, beautiful view,constant hot and cold water supply, gasified,individual heating system, windows and doorsEuropean production, iron entrance door, electrical wiringand water pipes replaced. For more information callto the specified phone number. KITCHEN FURNITURE FOR SALEBACK ELEVATION THAT IS IN PROGRESS;Dilijan Waters with separate entrance.Translated from Armenian",Nov-25-2022_14-06,,,,,,,,,https://list.am/en/item/18189126,
Stone,No,Not available,4,,,70 sq.m.,3,1,from 2.6 m,3.0,Open balcony,,No Renovation,,Tavush › Ijevan,"8,000,000 ֏",AMD,"VERY URGENT Apartment is located in Ijevan, Gharagyozyan St. No. 50/30. The apartment has 2 bedrooms, a kitchen, a bathroom, a balcony. There is water and gas in the apartment. The windows and 3 European doors are present and new. (THE BUILDING IS LOCATED NEAR THE HOSPITAL AND THE 4TH SCHOOL. CALL FOR DETAILS.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17476269,
Stone,No,Not available,2,,,360 sq.m.,4,2,from 2.8 m,2.0,Open balcony,,Old Renovation,,Tavush › Dilijan,"$26,000",USD,"A two-story house is for sale in the center of Dilijan city. It needs to be renovated, a beautiful view of the nature of Dilijan opens from the balcony.Sale of own houses.Also ice creams.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18163438,
Stone,No,Not available,4,PLayground,OUtdoor parking,64 sq.m.,3,2,from 2.7 m,1.0,Open balcony,Available,Major Renovation,"YArd view, street view, city view","Գայի փողոց 35, Դիլիջան","$50,000",USD,"Dilijan stone building high first floor with separate entrance,open balcony 8.5 square meters, 2 bedrooms, gas-fired, heatingsystem, windows and doors of European production,the bathroom is tiled with high-quality tiles,constant hot and cold water supply, beautiful view,clean Air: For details, call the indicated phone number.KITCHEN FURNITURE FOR SALEBACK ELEVATION THAT IS IN PROGRESS;Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18189236,
Panels,No,Available,4,,,79 sq.m.,3,1,from 2.7 m,4.0,Closed balcony,,Partial Renovation,,"Shamakhyan Street 1b, Dilijan station","1,700,000 ₽",RUB,Срочно продаю 3-х кв ул. Шамахян. Возможно торг,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18374815,
Stone,No,Not available,4,,,65 sq.m.,2,1,from 2.6 m,1.0,Not available,Available,Euro Renovation,,"Մաշտոցի փողոց 25, Բերդ","$18,000",USD,The house is renovated. It has all the communal possibilities. It has a separate entrance. It has an open garage in front of the house. It is convenient as a business area.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17288747,
Monolith,No,Not available,3,,,60 sq.m.,2,1,from 2.6 m,3.0,Open balcony,,Partial Renovation,,Tavush › Dilijan,"$32,000",USD,"An apartment is urgently for sale in Dilijan, in the Moldovan building of Shamakhyan district, next to the Ayb school and the Central Bank cottages. Price: NegotiableTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18101796,
Bricks,No,Not available,5,,,72 sq.m.,2,1,from 2.8 m,5.0,Closed balcony,Available,Major Renovation,,Tavush › Dilijan,"17,000,000 ֏",AMD,"For sale: 2-room, 3-furnished apartment with property in Dilijan, Hovsepyan St. Building 79, 18 fully renovated apartments with heating systemTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17374152,
Panels,Yes,Available,9,,,66 sq.m.,3,1,from 2.5 m,8.0,Closed balcony,Available,Major Renovation,,"Շամախյան փողոց 3Ա, Դիլիջան","$32,000",USD,"Վաճառվում է բնակարան Շամախյան թաղամասում 2 սեն դարձրած 3, 66 քառակուսի, 9 հարկանի շենքի 8 հարկում, առաստաղի բարձրությունը 2,7 մ ։ Բնակարանը կապիտալ նորոգված է, վաճառվում է կահույքի և տեխնիկայի հետ միասին, ընդհանուր հարկում կա 2 կլադովկա, որոնք մտնում են տան արժեքի մեջ, շենքի բակում կա 40 քառակուսի ավտոտնակ վկայականով ՝ միասին 40 000 $",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17943855,
Stone,No,Not available,5,,,45 sq.m.,2,1,from 2.7 m,1.0,Not available,,Euro Renovation,,Tavush › Dilijan,"$70,000",USD,"An object of public importance is for sale. In Dilijan.The house is renovated, equipped with all modern conditions, it is furnished.At present, the object is a functioning guest house /Booking. Com has a rating of 9.6The object can serve as an office space, it is also suitable for other purposes (dental clinic, pharmacy, beauty salon)Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18211735,
Stone,No,Not available,5,,,60 sq.m.,3,1,from 2.8 m,1.0,Open balcony,,Partial Renovation,,"Երևանյան փողոց 4, Նոյեմբերյան","11,500,000 ֏",AMD,"K. A 3-room apartment is for sale in Noyemberyan, on the first floor, there is a Baksi heating system, the windows and doors have been changed, the bathroom has been completely renovated, there is constant hot and cold water, on the street of Szolakinani.Very comfortable and warm house, the school is very close.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17768628,
Panels,No,Available,9,,,73 sq.m.,3,1,from 2.75 m,2.0,Open balcony,By agreement,Cosmetic Renovation,,Tavush › Dilijan,"23,000,000 ֏",AMD,"An apartment is for sale in the center of Dilijan, next to Verev Park. Open balcony with a beautiful view. It is a bright house on the side. It is renovated, uninhabited, it has all the communal facilities, there is a heating system.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17420359,
Stone,No,Not available,3,,,100 sq.m.,4,2,from 2.8 m,2.0,Not available,,No Renovation,,"Մաքսիմ Գորկու փողոց 35/1, Դիլիջան","$45,000",USD,Apartment for sale in Dilijan city with a good view.Translated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18372285,
Stone,No,Not available,4,,,50 sq.m.,2,1,from 2.75 m,1.0,Not available,,Cosmetic Renovation,,"Ստեփան Շահումյանի փողոց 8, Դիլիջան","$40,000",USD,"For more information call:It is located on Jrhogher street, next to the former Manushak cinemaTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18356821,
Stone,No,Not available,5,,,75 sq.m.,3,1,from 2.8 m,5.0,Multiple balconies,,Old Renovation,,Tavush › Azatamut,"$8,000",USD,"Comfortable, bright apartment, very warm, in normal condition, in case of questions, you can call, there is a garage. But different wine with the garage. I will give almost all the property with the house. I just changed the front door.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17699769,
Panels,No,Available,9,,,67 sq.m.,2,1,from 2.8 m,4.0,Closed balcony,Not available,Euro Renovation,,"Getapnya street 6, Dilijan station","$50,000",USD,"Apartment, clean, good house, for sale, cash only, final price, 2 rooms furnishedTranslated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18034852,
Stone,No,Not available,1,,,1100 sq.m.,3,1,from 2.5 m,1.0,Not available,By agreement,Old Renovation,,Tavush › Ijevan,"$24,000",USD,Private house for sale City in Yerevan Address Miasnikyan street house 13 land area 1100 sq. M. House area 77.95 sq. M. Area 14.4 sq. M. To view the pictures I send you to lookTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16657515,
Panels,No,Not available,5,,,60 sq.m.,2,1,from 2.7 m,4.0,Open balcony,,No Renovation,,"Улица Месропа Маштоца 84А, Берд","$28,000",USD,"The house is in good condition. Both balconies are closed with stone tuff and euro windows, the door of the house is iron, the power lines have been changed with new power lines, the water pipes are also new, we have hot and cold water, the house is flooded, we have a basement.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17758954,
Stone,No,Not available,5,,,72 sq.m.,3,1,from 2.5 m,1.0,Not available,,Cosmetic Renovation,,"Abovyan street 22, Ijevan","30,000,000 ֏",AMD,"The apartment is located in the center of Ijevan city. It is also suitable as a shop or office. There are also 2 basements outside, inside, private garden and 15 sq. M. For details, write or call Viber or WhatsApp for details.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/18371367,
Stone,No,Not available,3,,,70 sq.m.,3,1,from 3 m,2.0,Open balcony,,Old Renovation,,"Հայկ Նահապետի փողոց 14, Բերդ","7,000,000 ֏",AMD,"It is in normal condition, on the second floor of a three-story building, it has three rooms, a basement and a barn in front of the church. It has a separate entrance and a balcony. You can also write to Miley.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/16465740,
Stone,No,Not available,4,,,114 sq.m.,2,1,from 2.8 m,3.0,Open balcony,,Partial Renovation,,"Մետաղագործների փողոց 2/2, Իջևան","$50,000",USD,Urgent sale with garage for 2 cars. 4-room apartmentTranslated from Armenian,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17802471,
Stone,No,Not available,4,,,32 sq.m.,1,1,from 2.7 m,2.0,Open balcony,,Cosmetic Renovation,,"Ankakhutyan Street, Ijevan","$26,000",USD,"It is located in the center near Ijevan City. The apartment has all utilities: Gas, water (hot, cold), electricity. Also, the apartment has the possibility to expand.For more information call: The price is negotiable.Translated from Armenian",Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17752114,
Panels,No,Available,9,,,65 sq.m.,2,1,from 2.5 m,2.0,Closed balcony,,Cosmetic Renovation,,Tavush › Ijevan,"$33,000",USD,Чистая уютная квартира + гараж 6×3 м.,Nov-25-2022_14-07,,,,,,,,,https://list.am/en/item/17385666,
