Type,Floor Area,Address,Price,Currency,Description,Datetime,Links,Construction Type,Furniture,Elevator,Location from the Street,Entrance,Parking
Multifunctional Space,700 sq.m.,International › Russia,"100,000 ₽",RUB,"Վաճառքի գինը -150,000 ԱՄՆ դոլար, հնարավոր է փոխանակում բնակարանի հետ Երևանում նորակառույց շենքում.В Московской области, Люберецком районе, Вашему вниманию предлагается ПРОДАЖА отдельно стоящего здания на ПЕРВОЙ ЛИНИИ оживленного шоссе с собственным участком! Отдельный въезд с первой линии. Высота въездной группы больше 4 метров, что позволяет спокойно разгрузить на территории необходимые товары. Оживленный автомобильный трафик. Рядом остановка общественного транспорта. Есть место, которое возможно переоборудовать под собственную парковку (3-4 машины) Удобный подъезд и обзор с дороги. Коммуникации все есть: Электричество, отопление, водоснабжение и канализация. Общая площадь здания - 161 м2. Здание содержит основной цех - состоящий из двух помещений, каждое имеет свой независимый вход. Высота потолков – 3,5 м. Помещение требует небольшой внутренней отделки. На полу плитка, стены окрашены. Есть С/у с ванной. Общая площадь участка - 513 кв. М. По факту больше почти 700 кв. М. На участке имеются подсобные помещения: 3 отдельные комнаты отдыха, 2 холодных склада, котельная, туалет. Идеальное место для магазина, склада и иное. Возможна вывеска, хорошие рекламные возможности. Раньше в этом здании располагался склад/швейный цех.",Nov-24-2022_22-29,https://list.am/en/item/16955391,,,,,,
Retail Space,18 sq.m.,"Արամի փողոց 82, Երևան","45,000 ₽",RUB,"Commercial space for rent in Moscow.Located in Sakolniki (5 km from the center, Kolodezny pereulok 14, Moscow)The area is on the 1st floor of a 6-storey administrative building, the entrance is separate.From utilities: Water, electricity.The toilet is inside the administrative building.Area - 17․5 square meters It is suitable for opening a shop, fast food, equipment repair and such a point.There are residential buildings in the area whose residents go to the bus stop on that sidewalk.For more information call.The cost of a monthly rent is 45,000 rubles.Translated from Armenian",Nov-24-2022_22-29,https://list.am/en/item/17159472,,,,,,
Hotel,1300 sq.m.,International › Russia,"$1,500,000",USD,Existing hotel with its supermarket in AnapaTranslated from Armenian,Dec-12-2022_20-35,https://list.am/en/item/16878252,Monolith,Available,Not available,First Line,Common from the Street,
Functioning Business,1700 sq.m.,International › Russia,"70,000,000 ₽",RUB,"Krasnadar region - Anapa-Vityazevo:For sale together with the Hotel HouseHouse-4th floorlarge basement7 rooms4 bathrooms1st floor1 room, 2 bathrooms, kitchen,foyer, living room 2 balconiesgarageHotel:18 for balconieseach room with its own bathroomIn Sepiacs-new-furniture, TVs, Refrigerators, air conditioners, orthopedic mattressesCanteen furnishedRussian. Bathroom (furnished) -with bathroomLarge New Swimming PoolLarge gardenparking:Wifi:Translated from Armenian",Dec-12-2022_20-35,https://list.am/en/item/17068959,Stone,,,,,
Hotel,1080 sq.m.,International › Russia,"$350,000",USD,Г. Сочи Лазаревский район п. Якорная щель,Dec-12-2022_20-35,https://list.am/en/item/18511834,Bricks,,,,,
Multifunctional Space,420 sq.m.,International › Russia,"$52,000",USD,"Продаётся 3-х этажное здание коммерческого назначения (не жилое помещение)общая площадь 420кв. М.Назначение многофункциональное, производство, торговля, склад.Есть скважина, септик и зона парковки.По желанию можно переоформить документы под жилой дом, здание находится по адресуг. Краснодар, с/т “Весна” ул. Абрикосовая 4 (центральная трасса)городская пропискаРассмотрю варианты обмена на жильё в г. Ереван",Dec-12-2022_20-35,https://list.am/en/item/18479317,Stone,,,,,
Retail Space,1100 sq.m.,International › Russia,"$42,000",USD,"Կրասնոդարում Լաբինսկ-Մայկոպ-Տուափսե ավտոմայրուղու վրա (Կավկազ տրասա) վաճառվում է 1100 քմ հողատարածք, որի վրա կա 222 քմ շինություն (Սովետական միության թվերի բաղնիքի շենք) : Բարձրությունը դրսից 7.8 մետր, ներսից 3.8 մետր: Գտնվում է հենց ավտոմայրուղու վրա, հարակից կա ավտոկայանատեղի: Հարմար է ռեստորանային և հյուրանոցային համալիր կառուցելու համար: Սակարկելի:Լինկով հնարավոր է քարտեղի վրա տեսնել շինությունը: https://www.google.com/maps/@44.6175694,40.467...Краснодарский край, Мостовский р-он станица Ярославская улица Первомайская дом 95 а,222 м/2, жилой 156, высота 7,80, внутренний 3,80м, общая площадь 1100м2:",Dec-12-2022_20-35,https://list.am/en/item/18106713,Bricks,Not available,Not available,First Line,Common from the Street,
Functioning Business,400 sq.m.,"International street, Abovyan","150,000,000 ₽",RUB,"Хорошое предложение в городе Сочи. Дом-400кв. М. , Земля- 3,5соток; Всё в сообственности. 14ком- гостиничные намера; Второй этаж 100кв. М. Евро ремонт. Всё оставляем. Торг уместен",Dec-12-2022_20-35,https://list.am/en/item/15708638,Stone,Available,Not available,Other,Separate from the Street,
Functioning Business,3286 sq.m.,International › Russia,"130,000,000 ₽",RUB,"Продаётся готовый арендный бизнес в городе Ярцево Смоленской области. Торгово-развлекательный центр площадью 3285,7 кв. М расположен на земельном участке 3587 + \-21 кв. М. ТЦ 3-х этажный, включая полуподвал. Арендаторы: Сеть Магнит и Магнит Косметик, Дары Привопья, Кофейня Premium, Кибер Арена Aspire, Аптека, Все для дома, фикспрайс. МАП составляет 1100000 рублей. Долгосрочные договоры аренды с индексацией. Полуподвал частично свободен (600 кв. М) На территории ТРЦ имеется автомойка со всем необходимым оборудованием (пока не введена в эксплуатацию) Мощность электричества 160 кВт, газ 115000 м3, Холоднее и горячее (от котла) водоснабжений, водоотведение. Земельный участок и ТРЦ в собственности физлица.",Dec-12-2022_20-35,https://list.am/en/item/18619545,Monolith,Not available,Not available,First Line,Separate from the Street,Outdoor parking
Hotel,450 sq.m.,International › Russia,"$315,000",USD,"Urgent sale of a spacious 3-storey fenced apartment of 450 sq/m, built in 2000, it also has a spacious basement, a garage for 3 cars, all rooms are furnished and equipped with all utilities. It is suitable for living, hotel, and restaurant. It is located outside of Izhevsk near the main highway, it also has 2200 sq/m land area can add 1/3 hectare of land, there is a stream in front of the house which can be used as a fish farm. 9124457134, and is located near the main road of Пермь, Ижевск, Казань.Translated from Armenian",Dec-12-2022_20-35,https://list.am/en/item/18685410,Bricks,Available,Not available,First Line,Separate from the Street,"Outdoor parking, garage"
