Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking,Links,Construction Type
Restaurant,1150 sq.m.,Kotayk › Jrvezh,"1,500,000 ֏",AMD,"An existing restaurant complex for rent in Jrvezh, total 1150 sq/m, has 5 summer pavilions (besetka) built in a unique wooden style for 6-25 people, 6 private rooms for 6-30 people, 1 banquet hall for 100 people with its own separate kitchen, 300 sq/m two-story semi-detached building. The complex has separate entrances from 3 sides, there is a boiler room, kitchen, 4 bathrooms, service rooms, office, warehouses, gas, water, three-phase electricity, video surveillance system. The total area of the building is 550 + 300 sq/m. The complex has been operating for about 25 years, has many customers, a social network and a delivery service.For rent only PUBLIC FOOD NETWORK.Translated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/17773187,
Office Space,500 sq.m.,Kotayk › Kanakeravan,"1,000 ֏",AMD,"Production, office, warehouse space for rent in Kanakeravan. Each floor is 500 square meters.Three-phase electricity, constant water, gas, internet.Translated from Armenian",Nov-24-2022_22-03,Not available,Not available,First Line,Common from the Street,Direct Lease,1 month,2 months,Not included,,https://list.am/en/item/17447342,
Retail Space,150 sq.m.,Kotayk › Dzoraghbyur,"300,000 ֏",AMD,The mini market is given for a long term. The first two months are free.Translated from Armenian,Nov-24-2022_22-03,Available,Not available,First Line,Separate from the Street,Direct Lease,1 year,2 months,Not included,OUtdoor parking,https://list.am/en/item/18374507,
Retail Space,80 sq.m.,Kotayk › Abovian,"150,000 ֏",AMD,"A shop or production area or both are for rent. There is water, electricity and a bathroom. Details by phoneTranslated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/18173669,
Industrial and Manufacturing,300 sq.m.,Kotayk › Kasagh,"250,000 ֏",AMD,"In the Kazakh community, 3 km from Yerevan, near the red cross, a business space is for rent, a production warehouse of 300 square meters. It has a large plot of land, it is provided with constant water, three-phase electricity, cameras.Translated from Armenian",Nov-24-2022_22-03,Available,Available,First Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,,https://list.am/en/item/15547193,
Automotive Service,70 sq.m.,Kotayk › Byureghavan,"70,000 ֏",AMD,"Boxers are for rent in the central part of Byureghavan city, near the station. Each one is 70 square meters, they are given both separately and together. The price of each one is AMD 70,000.Translated from Armenian",Nov-24-2022_22-03,Not available,Not available,First Line,Common from the Street,Direct Lease,3 years,By Agreement,By Agreement,,https://list.am/en/item/18137895,
Multifunctional Space,1000 sq.m.,"Kotayq street, Abovyan","150,000 ֏",AMD,"Area for rent in Abovyanfirst lineThe area is very largepossible part by part100_ 4000 m, cclosed parkingTranslated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/16104989,
Everything Else,600 sq.m.,"Կոտայքի փողոց 10, Բյուրեղավան","15,000 ֏",AMD,"Summer house for daily rent in Arzni, the summer house is 18 km from Yerevan, there is gas, dynamic, the pavilion is designed for 30 people, the size of the pool is 5 m. 3 m. The depth is 1.5 m.Translated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/17854481,
Retail Space,95 sq.m.,"Hanrapetutian Avenue 1/5, Abovyan","200,000 ֏",AMD,"Space for rentOffice space that can be used for various activities, office space, etcIt is located on the 1st floor and has 2 entrances.Three-phase current and other utilities.Call for details area is my ownThe price is very affordableTranslated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/18212911,
Building,160 sq.m.,"Verin Ptghni Մ-4, Yerevan",400 ֏,AMD,Здание находится на трассе Севан-Ереван. Подходит для любого бизнеса.,Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/18162203,
Office Space,280 sq.m.,"Kentron block, Hrazdan","180,000 ֏",AMD,"Located in Hrazdan center district ․ In a busy area, 140 sq. M.Translated from Armenian",Nov-24-2022_22-03,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/15236574,
Everything Else,36 sq.m.,"3rd microdistrict 20, Abovyan","80,000 ֏",AMD,"Land of public significance is for rent in K Abovyan St. On Mnatsakanyan street. There is a bathroom, three-phase electricity.Translated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/18375331,
Warehouse,2150 sq.m.,"Verin Ptghni Մ-4, Yerevan","800,000 ֏",AMD,"A warehouse is for rent near the northern parking lot, 2150 sq. M., of which 1000 sq. M. It is a closed area.Translated from Armenian",Nov-24-2022_22-03,Not available,Not available,Second Line,Separate from the Courtyard,Direct Lease,6 months,1 month,Not included,,https://list.am/en/item/16885002,
Retail Space,27 sq.m.,"3rd microdistrict 24, Abovyan","80,000 ֏",AMD,"Commercial space for rent.It is suitable for use as a trade and service facility and as an office space.The area is renovated.For details, call the indicated phone number.Translated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/18345526,
Office Space,230 sq.m.,"4-й микрорайон 45А, Абовян","$1,500",USD,"Сдается на долгосрочную аренду офисное помещение площадью 230 кв м на 1 - ом этаже 5 этажного здания (новостройка) по адресу город Абовян 4 ый микрорайон 45А; состоит из просторного зала, кабинета и малого зала с кухней/2 сан-узла.",Nov-24-2022_22-03,Available,Not available,Second Line,Separate from the Street,Direct Lease,1 year,1 month,Not included,,https://list.am/en/item/18355206,
Everything Else,1800 sq.m.,"Ազատության փողոց 1, Ձորաղբյուր","100,000 ֏",AMD,1800 sq. M. Is for rent. Մ. Land on the front line of Bagrevand-Dzoraghbyur road.Translated from Armenian,Nov-24-2022_22-03,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,By Agreement,,https://list.am/en/item/17965172,
Multifunctional Space,120 sq.m.,"Zovuni 38 street, Zovuni","500,000 ֏",AMD,"The area is suitable for and warehouse and office work, height 2.55 m, front 12 m, length 11 m. It has all the communal facilities (gas, water, light) The price is conditional according to the expediency of use.Translated from Armenian",Nov-24-2022_22-03,Not available,Available,First Line,Common from the Courtyard,Direct Lease,2 months,By Agreement,Included,,https://list.am/en/item/17508759,
Warehouse,1000 sq.m.,Kotayk › Nor Yerznka,"25,000 ֏",AMD,"Refrigerator is provided for daily rent for fruit, dried fruits, flowers, etc.Suitable for small and medium entrepreneurs. Price is negotiable depending on the season and storage product. There are also 3 90 sq. M. And 75 sq. M. Refrigeration areas and storage areas. We offer padon rental. The cost of 1 padon is AMD 450 per day.The refrigeration areas are equipped with modern high-quality technology, which ensures -2 + 5 temperature for storage of various products. It is located in Nor Yerznka community, 15 km away from Yerevan.Call for detailsAREA:Warehouse, workshopRefrigeratorTranslated from Armenian",Nov-24-2022_22-03,Available,Available,Second Line,Common from the Street,Direct Lease,1 month,1 month,Not included,,https://list.am/en/item/17426742,
Retail Space,80 sq.m.,Kotayk › Hrazdan,"100,000 ֏",AMD,"Shop pharmacy, office, hairdressing salon, etc. RenovatedTranslated from Armenian",Nov-24-2022_22-03,,,,,,,,,,https://list.am/en/item/17714233,
Industrial and Manufacturing,2100 sq.m.,Kotayk › Byureghavan,800 ֏,AMD,"An existing stone workshop is for sale in the city of Byureghavan. The total area of the land is 2100 square meters. M. The area of the building is 850 square meters. M. It is. The height is 8 meters. The area also includes an administrative section, surrounded by fruit trees. There is water, three-phase electricity, sewage. Equipped with a 3 ton capacity hoist.It is also suitable for organizing storage or other productionCan also be rented partially, furnished or unfurnished.Rental Price.AMD 800 per square meterTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16615058,
Industrial and Manufacturing,2100 sq.m.,"Կոտայքի փողոց 63, Բյուրեղավան",800 ֏,AMD,"An existing stone workshop is for sale in the city of Byureghavan. The total area of the land is 2100 square meters. M. The area of the building is 850 square meters. M. It is. The height is 8 meters. The area also includes an administrative section, surrounded by fruit trees. There is water, three-phase electricity, sewage. Equipped with a 3 ton capacity hoist.It is also suitable for organizing storage or other productionCan also be rented partially, furnished or unfurnished.Rental Price.1 square meter 800 AMDTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/16566431,
Functioning Business,170 sq.m.,Kotayk › Abovian,"480,000 ֏",AMD,"KOD-62118In Abovyan, for rent, an existing business, beautifully renovated.^ The area is spacious, suitable for any activity^ The area has a nice renovation, with high quality materials^ All utilities are availableTranslated from Armenian",Nov-24-2022_22-04,Available,Not available,First Line,Separate from the Street,Direct Lease,3 months,1 month,Not included,,https://list.am/en/item/16407719,
Retail Space,92 sq.m.,Kotayk › Garni,"185,000 ֏",AMD,"80 square meters has a bathroom, single phase electricity, water, parking lot, newly renovated, also for sale or exchange, it is located in the central part of Garni village, on the highway, it will serve as a bank, shop, shopping area, etc. , in case of questions, call me for detailsTranslated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Included,OUtdoor parking,https://list.am/en/item/18012339,
Everything Else,1000 sq.m.,"Arzni Highway, Abovyan","15,000 ֏",AMD,"Summer house for daily rent in Nurnus, there is gas, dynamic, the pavilion is designed for 30 people, the size of the pool is 8m. 6 m. Depth 1.5 m. , 20 km from YerevanTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17854488,
Industrial and Manufacturing,1000 sq.m.,Kotayk › Hrazdan,"500,000 ֏",AMD,"Production, storage, office premises (of different sizes) are for rent.14/33 in the factory street of Hrazdan cityTranslated from Armenian",Nov-24-2022_22-04,By agreement,Not available,First Line,Separate from the Street,Direct Lease,1 month,By Agreement,By Agreement,,https://list.am/en/item/16263450,
Office Space,180 sq.m.,"Զորավար Անդրանիկի պողոտա 87, Հրազդան","180,000 ֏",AMD,"Area for rent: K. Hrazdan micro-district in front of building 87, on the central road, all utilities are available, call for detailsTranslated from Armenian",Nov-24-2022_22-04,By agreement,Not available,First Line,Common from the Street,Direct Lease,1 month,By Agreement,By Agreement,,https://list.am/en/item/16057639,
Industrial and Manufacturing,450 sq.m.,"Samvel Safaryan street, Yeghvard",100 ֏,AMD,"A storage area is for rent in the first line of Zoravan village near Yeghvard town. Has permanent drinking water, own electricity substation. The height of the building is 7 m, the length is 30 m, the width is 15 m. Entrance gate height 4.5 m, width 4 m. There is a fruit refrigerator 100 cubic meters. The building is for long-term rent. Rent is negotiableTranslated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,3 years,6 months,Not included,,https://list.am/en/item/16451480,
Functioning Business,55 sq.m.,"Qochinyan street 6, Yerevan","250,000 ֏",AMD,"The front line of the building is in a crowded place, you can use it in different areasTranslated from Armenian",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17879255,
Everything Else,55 sq.m.,Kotayk › Getamej,"140,000 ֏",AMD,"Сдаю 2 комнаты с отдельным входом, со всеми удобствами, в 14 км от Еревана, общая площадь территории 4000 кв (беседки - летняя/зимняя, зона отдыха) Я собственник, могу устроить онлайн показ",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17869375,
Multifunctional Space,55 sq.m.,Kotayk › Getamej,$350,USD,"Сдаю 2 комнаты на первом этаже в доме, с отдельным входом и со всеми удобствами. А так же комфортная зона отдыха с площадью 4000 кв/м с живописными пейзажами.В 14 км от Еревана, я собственник!Могу устроить онлайн показ",Nov-24-2022_22-04,,,,,,,,,,https://list.am/en/item/17762879,
Retail Space,50 sq.m.,"2-րդ փողոց 19, Աբովյան","90,000 ֏",AMD,"A space for rent, as a shop, next to the 7th micro road.Translated from Armenian",Nov-24-2022_22-04,Not available,Not available,First Line,Common from the Street,Direct Lease,1 year,By Agreement,Not included,,https://list.am/en/item/16337758,
