Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Multifunctional Space,Stone,155 sq.m.,Available,Not available,Second Line,Common from the Street,"4-րդ միկրոշրջան 4/48, Աբովյան","$55,000",USD,"For sale is an existing business with a production area, the activities of which include:Production of Euro doors and windows with all its devices.Includes screams and shouts.Production areaThe area of the building is 155 sq/mimportance for production purposesOperational significance: Industrial objects2 spacious production halls1 office2 spare partsall of itThere are communications, water, three-phase currentTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18345999,,,,
Industrial and Manufacturing,Stone,3061 sq.m.,,,,,Kotayk › Charentsavan,"128,740,000 ֏",AMD,"A 4-storey industrial building with a metal roof and a wall is for sale. The building is located on the first line, provided with all communications (electricity, gas, water, sewage)Total area: 3061.4 square meters.Price: AMD 128,740,000 (including VAT)Address: C. Charentsavan, 14/5 Gazaranay streetTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18288886,,,,
Functioning Business,Stone,7000 sq.m.,,,,,"Ջոզեֆ Հենրի փողոց 5, Քանաքեռավան","$260,000",USD,"It is located on the main street in Kanakeravan, at N3 of Mrgashen highway. 7000 sq. M. Land (7000X10$) fenced, first line on the main street, 2100 sq. M. Glass greenhouse ($2100X50), Dutch roses and lisianthus are grown, equipped with cooling, heating, drinking water, three-phase power, own gas line, separate refrigerator in the greenhouse, flower hall adjacent to the greenhouse to the main road ($25,000), available 300 sq. M. Underground cellophane greenhouse ($300x100) specially designed for growing tulips, capacity 80,000, with attached refrigerator and working, storage part. Newly built dacha with separate gates from the main street, unfinished interior decoration ($30,000)Only $260,000.Partial exchange options are possible at an additional cost on your part.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18343956,,,,
Restaurant,Stone,1150 sq.m.,,,,,Kotayk › Jrvezh,"$640,000",USD,"Operating restaurant complex for sale in Jrvezh, total 1150 sq. M., has 5 unique wooden pavilions (besetka) built for 6-25 people, 6 private rooms for 6-30 people, 1 banquet hall for 100 people with its own kitchen, 300 sq / m two-storey half-built building. The complex has separate entrances from 3 sides, there is a boiler house, a kitchen, 4 bathrooms, service rooms, an office, warehouses, gas, water, three-phase electricity, video surveillance system. The total area of the building is 550 + 300 square meters. The complex has been operating for about 25 years, has many customers, social network and delivery service. For sale with property and equipment.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17674624,,,,
Everything Else,Stone,9000 sq.m.,,,,,"Sevani street, Abovyan","$250,000",USD,"Operating greenhouse for sale, c. In Abovyan, near the road leading to Jraber, all the infrastructures are available, it is possible to exchange apartments or a commercial area in Yerevan.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/16072625,,,,
Hotel,Stone,1000 sq.m.,Not available,Not available,First Line,Common from the Courtyard,Kotayk › Zovuni,"$200,000",USD,Срочно продаётся предназначенная для 2-х этажной гостиницы строение общей площадью 300кв. М. Площадь земельного участка 1000кв. М. Все комунальные соединения подключены. Частичнообнесенно забором из камня. Здание не находится под арестом или залогом. Все документы готовы. В доме есть 8 раздельных гостиничных помещений с собственными сан. Узлами. Водные и электрические отведения в доме сделаны и готовы к подключению. Звоните только реально заинтересованные. Вайбер ватсап + 7967 2022220,Nov-24-2022_17-54,,https://list.am/en/item/18349787,,,,
Functioning Business,Monolith,1000 sq.m.,,,,,Kotayk › Tsakhkadzor,"$1,050,000",USD,"Kotayk, TsaghkadzorOperating hotel complex.The total area is 1000 square metersThe 3-storey hotel complex with its 18 rooms, restaurant complex and hall designed for entertainment.The courtyard area is designed to ensure the complete relaxation of the guests.The complex is sold fully furnished.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18064346,,,,
Agricultural Space,Stone,891 sq.m.,Not available,Not available,Other,Common from the Courtyard,"Arzni Highway, Abovyan","$42,000",USD,"A business container with its own slaughterhouse is for sale. There is also drinking water, irrigation water, sewerage, the territory is located in the area in front of the dispensary, about 200 meters away from the road, the price is negotiableTranslated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/18348365,,,,
Industrial and Manufacturing,Stone,2760 sq.m.,,,,,Kotayk › Akunk,"$35,000",USD,"Under Hatis Mountain, Khelatsi Livestock Farm has a 150 sq. M. Adjoining 70 sq. M. Stone calf house with its own stalls. There is a warehouse, an iron house has arandin cable internet, own electricity connected from 10000 volts with 10kva completely new stolbek with zazimleni has cameras 12 days recording total land 2760 square meters is equipped with a village for production also you need to increase about 2300 karakusiel irrigation water right next to the house 20 meters has 300 liters of solar water I am worried about the liquidation price, it is cheaper than the bank account, it is estimated at 22000000, it is very urgent, the tech is ideal, it is within 30 m of the highway, it will also be convenient to use it for other purposes, the rest, call us, we will talk, negotiable, now I will buy a new car.Translated from Armenian",Nov-24-2022_17-54,,https://list.am/en/item/17747411,,,,
Retail Space,Stone,110 sq.m.,,,,,Kotayk › Charentsavan,"$35,000",USD,В месте с гаражом. Остальное по телефону.,Nov-24-2022_17-54,,https://list.am/en/item/17898188,,,,
