Type,Construction Type,Floor Area,Address,Price,Currency,Description,Datetime,Furniture,Elevator,Location from the Street,Entrance,Parking,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments
Retail Space,Stone,70 sq.m.,"Մուշ 2 թաղամաս 16/1, Գյումրի","$50,000",USD,"A new building is for sale near the square of Mush 2 district, it is suitable for office or trade service.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/16621909,,,,
Retail Space,Stone,1200 sq.m.,Shirak › Artik,"$57,000",USD,"Stone structure, two-story, three-phase electricity, gas, waterTranslated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17498185,,,,
Functioning Business,Stone,70 sq.m.,"Մանուշյան փողոց 16Ա, Գյումրի","$49,000",USD,"For more details on Gortsokh business close shop, call the mentioned phone numberTranslated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/15992427,,,,
Multifunctional Space,Monolith,1400 sq.m.,"Դուդկոյի փողոց 1, Գյումրի","36,500,000 ֏",AMD,"1400 sq. M. Fenced area is for sale or rentThe building area is 300 square metersCeiling height: 5.5 m,It has the opportunity to make two floors, a flat roof to build the third floor.The building is covered from the inside and from the outside.Suitable for any type of activity.Please call the number listed.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,First Line,Common from the Street,,https://list.am/en/item/17703869,,,,
Multifunctional Space,Stone,610 sq.m.,"Schedrin street, Gyumri","$330,000",USD,"Dear Buyer,A multifunctional business complex is for sale in Gyumri, on Shchedrin street, together with 4 adjacent entertainment and service businesses.There are and leased commercial premises and operating businesses, stable and high income. The estimated cost of the building before the renovation was 118,000,000 AMD, and the liquidation was 88,500,000 AMD.The area is two-storey:Ground floor: Operating guest house, which has 2 bedrooms, loft-style brand new complete furniture, necessary dishes, kitchen, bathroom, security video surveillance system2 existing saunas with separate entrances, with their own swimming pools and boilers, completely new property, built in accordance with all standards. The bathrooms are equipped with modern filtration systems and are heated.130 square meter playground with a separate entrance from the street with all its equipment, furniture, tennis tables, billiard hall.Second floor. The spacious gym, equipped with modern exercise equipment, has a dressing room, baths, bathroom, etc.The building is fully renovated, has a closed parking lot of 80 sq. M. Մ. Or for 6 cars.It is possible to sell it together with the whole or part of the property+ Three-phase current+ Separate heating systems and Electricity distribution which allows to count the communal flowers of all the halls separately+ Heating floor (heated floor)+ Gas, water, electricity. Energy+ Separate ventilation systems for all rooms+ Remote control systems are installed for ventilation, electricity շարք a number of other necessary operationsFor further questions, please call or write.Sincerely, POWERFUL HOUSE REAL ESTATE AGENCY.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/16451209,,,,
Multifunctional Space,Stone,400 sq.m.,"Վազգեն Սարգսյան փողոց 19/7, Գյումրի","73,000,000 ֏",AMD,"A newly built communal multi-functional real estate with all amenities is for sale on Vazgen Sargsyan Street, next to the 19th school, in front of the dormitory, heating system, floor heating of the entire building, three-phase current, 250 square meters of building, 150 square meters of adjacent land, 55 meters of parking space. Possibility to add two more floors.Translated from Armenian",Nov-24-2022_22-02,Not available,Not available,First Line,Separate from the Street,,https://list.am/en/item/18066530,,,,
Functioning Business,Stone,91 sq.m.,"Площадь Автовокзал, Гюмри","$25,000",USD,"All utilities are available. It has a semi-basement and a first floor, call for details.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/17513966,,,,
Functioning Business,Stone,54 sq.m.,Shirak › Gyumri,"$50,000",USD,"Operating business (guest house) for sale, 2 separate 1-room apartments, located in Independence Square, completely renovated, sold together with the property.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/18074564,,,,
Functioning Business,Stone,300 sq.m.,"Ղանդիլյանի փողոց 49, Գյումրի","$210,000",USD,"Commercial space for sale, which is currently a guest house. The common property has 3 privatization certificates (Ghandilyan 49/2, 49/3, 49/4, 49/5) It is located along the 1st floor of a 5-story building on Sevyan Street. The total facade part is 24 meters. Capital renovated. Sold with furniture. The guest house has 5 bathrooms. The possibility of space is diverse. Day. There used to be a supermarket in the first and second sections. The space can also be used for various businesses. Now in excellent condition, it operates as a highly rated guest house.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/18233063,,,,
Office Space,Stone,22 sq.m.,Shirak › Artik,"$40,000",USD,"A building is for sale in the center of Artik city. It is renovated, there is a bathroom. Price is negotiable.Translated from Armenian",Nov-24-2022_22-02,,,,,,https://list.am/en/item/16738197,,,,
