Type,Construction Type,Floor Area,Furniture,Elevator,Location from the Street,Entrance,Address,Price,Currency,Description,Datetime,Links,Lease Type,Minimum Rental Period,Prepayment,Utility Payments,Parking
Multifunctional Space,Cassette,30 sq.m.,Available,Not available,Other,Separate from the Courtyard,Tavush › Noyemberyan,"$1,850",USD,I am selling a 10-meter round cottage.Translated from Armenian,Nov-24-2022_22-00,https://list.am/en/item/16149348,,,,,
Functioning Business,Stone,60 sq.m.,,,,,"Կամոյի փողոց 120, Դիլիջան","$36,000",USD,For sale!Exchanged!On the Yerevan-Dilijan highwayThe 1st floor is a shop2nd floor guest house (Newly renovated)Translated from Armenian,Nov-24-2022_22-00,https://list.am/en/item/11474249,,,,,
Multifunctional Space,Stone,1470 sq.m.,Not available,Not available,First Line,Common from the Street,Tavush › Dilijan,"$650,000",USD,"В одном из красивейших мест в Армении, г. Дилижане продается мнoгофункционнальное 5 этажное здание (новостройка) площадью 1470 кв, м под крышей. Идеально подходит под гостиницу, дом отдыха, дачу и, т, дс прилежащей к нему землей в 1га.Цена договорная.",Nov-24-2022_22-00,https://list.am/en/item/16968988,,,,,
Hotel,Monolith,522 sq.m.,Available,Not available,Second Line,Separate from the Street,Tavush › Dilijan,"$520,000",USD,Hotel for sale in DilijanCode 0268Translated from Armenian,Nov-24-2022_22-00,https://list.am/en/item/17542446,,,,,
Office Space,Stone,100 sq.m.,,,,,Tavush › Ijevan,"$60,000",USD,"Urgently for sale a two-storey commercial area of 100 square meters, in the city of Ijjan, on the first line of the main highway ․ The area is fully renovated and has all the communal conditions ․ Has inside and outside stairs ․ Only real buyers should call ․ Suitable for any type of activity ․Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/5984503,,,,,
Functioning Business,Stone,4000 sq.m.,,,,,Tavush › Ijevan,"$110,000",USD,"Auto gas station on the Ijevan - Berd road ""urgent""Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17979486,,,,,
Hotel,Monolith,400 sq.m.,Available,Not available,First Line,Common from the Street,"Erevanyan street, Ijevan","$270,000",USD,"Վաճառվում է հյուրանոցային համալիր Իջևան քաղաքում, Երևան-Իջևան M4 մայրուղու 132-րդ կիլոմոտրի ձախակողմյան հատվածում, Երևանյան 45:Հյուրանոցը գտնվում է Իջևան քաղաքում, դենդրոպարկի դիմաց, անմիջապես M4 մայրուղու վրա: Շինության ընդհանուր մակերեսը 400ք. /մ. Է, ունի ավտոկայանատեղի, այգի՝ ընդհանուր 500ք. /մ. Մակերեսով:Հյուրանոցը երկրորդ հարկում ունի թվով 6 սենյակներ, լոջա (հյուրերի հանգստի համար), լվացքատուն: Բոլոր սենյակներն ունեն իրենց սան հանգույցները, կահավորված են, բոլորում տեղադրված են հեռուստացույցներ, օդափոխման համակարգեր, սառնարաններ:Առաջին հարկում գտնվում է ռեստորանը, որը նախատեսված է 70 հյուրերի համար: Ռեստորանը նույնպես հագեցված է անհրաժեշտ գույքով և սպասքով: Առաջին հարկում առկա է նաև պահեստային մաս, խոհանոց, սառնարանային մաս և այլն: Շինության կից առկա են նաև երկու առանձին տաղավարներ:",Nov-24-2022_22-00,https://list.am/en/item/14767502,,,,,
Agricultural Space,Stone,220 sq.m.,,,,,Tavush › Lusahovit,"4,300,000 ֏",AMD,"Livestock farm in Ijevan, 3 km from the city.Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/18287061,,,,,
Functioning Business,Stone,2000 sq.m.,,,,,"Yerevanyan street, Noyemberyan","$205,000",USD,Operating gas stationIt is on the Alaverdi-Georgia road. I will listen to exchange optionsTranslated from Armenian,Nov-24-2022_22-00,https://list.am/en/item/15962929,,,,,
Multifunctional Space,Stone,300 sq.m.,Not available,Not available,First Line,Separate from the Courtyard,"Արցախյան փողոց 114, Իջևան","60,000,000 ֏",AMD,"A two-storey multifunctional area is for sale on Artsakhyan street, Ijan city, which is suitable for almost all business activities. It is capitally renovated, fenced. Price is negotiable. The property is located directly on the street. It can serve as a hotel, restaurant, shop, big department store / mall /, paid kindergarten and school. Price is negotiable.Translated from Armenian",Nov-24-2022_22-00,https://list.am/en/item/17300694,,,,,
