Type,Floor Area,Address,Price,Currency,Description,Datetime,Prepayment,Links
Garage,90 sq.m.,"Kentronakan street, Darakert","100,000 ֏",AMD,"For rentCar service point boxes1 box is 45 square meters.2 boxes are 45 square meters. YamaAltitude 4.30First lineThree-phase power wifi cameraIt is possible to look at the tools behindIf there are cosmetic works inside, we will do it or we will arrange itTranslated from Armenian",Nov-24-2022_16-44,,https://list.am/en/item/18246983
Garage,50 sq.m.,"10-րդ փողոց 1, Այնթափ","100,000 ֏",AMD,Working boxers need to call Khadavi in detail. It is also available for rent.Translated from Armenian,Nov-24-2022_16-44,,https://list.am/en/item/18061769
Garage,24 sq.m.,"Ստեփան Շահումյանի փողոց 16, Արտաշատ","$3,300",USD,"The garage is iron, the area is not privateTranslated from Armenian",Nov-24-2022_16-44,By Agreement,https://list.am/en/item/14177777
Garage,100 sq.m.,Ararat › Masis,"150,000 ֏",AMD,"Boxer for sale in the city of Masis, central st. For more information callTranslated from Armenian",Nov-24-2022_16-44,Without prepayment,https://list.am/en/item/18200642
Parking Space,20 sq.m.,Ararat › Vedi,"1,000,000 ֏",AMD,"A 20 square meter plot of land is for sale, which is located in the back of AKBA Bank.Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/18691206
Garage,18 sq.m.,"Ararat-Artashat Highway, Taperakan","1,000,000 ֏",AMD,"It is in excellent condition, it has been used as a grocery store, the polka dots are missing inside, I will exchange it for a car equivalent to the price, I will give extra money only when exchanging it with a Ford Transit, if you have any other questions, callTranslated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/18181875
Garage,28 sq.m.,Ararat › Masis,"$8,500",USD,"A stone garage is urgently for sale in Masis, in the back of building 31, on the roadside, monolithic roof, stone garage. Also suitable for business activities. All documents are available.Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/18641447
Garage,30 sq.m.,Ararat › Ararat,"500,000 ֏",AMD,Iron garage portableTranslated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/17851291
Garage,24 sq.m.,Ararat › Ararat,"2,500,000 ֏",AMD,"The garage is for sale without items, if desired, also with items. It is located next to Shahumyan 33 (at the end of the building), long. 6 m / width. 4m, it also has a basement (box) Call for price and other details.Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/18641219
Garage,28 sq.m.,"Աղբյուր Սերոբի փողոց, Արարատ","2,500,000 ֏",AMD,Has a box and basement NegotiableTranslated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/15718763
Garage,50 sq.m.,"Isakov street, Artaxata (Artashat)","$2,500",USD,"It is located on the side of the 97a building in Artashat, in a very convenient place. It can serve as a storage area, the garage is 24 sq. M.Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/16126243
Garage,111 sq.m.,Ararat › Masis,"$2,300",USD,"For urgent sale. The garage is in excellent condition, quite large, iron,you can call for details.Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/18687284
Garage,33 sq.m.,"Masis highway, Sis","$2,000",USD,It is located in Sis village of MasisTranslated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/16162441
Garage,30 sq.m.,Ararat › Masis,"$5,000",USD,"A garage is for sale in the 2nd district of the citywith an area of 30 square meters.With a certificate of ownership.Also EXCHANGE with bulls, calves or wood board.Garage plot of land house will be burned own land garage car garage own apartment next to the house garage farm bull calf cow pig hay alfalfa tuk pad pad fuel strawpil balkaGarage avto avto avtotnak:Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/12909500
Garage,24 sq.m.,Ararat › Artashat,"$6,500",USD,Metal garage for sale. It is located in the city center on Shahumyan street (in front of the police station) Price negotiable.Translated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/18650446
Garage,24 sq.m.,Ararat › Artashat,"$2,600",USD,"Iron garage for sale in good condition Artashat, negotiable near the social center.Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/17678563
Garage,28 sq.m.,Ararat › Masis,"$8,000",USD,Stone Garage. 2 in block 14: The back of the buildingTranslated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/18669754
Garage,12 sq.m.,"Արարատյան փողոց, Արտաշատ","1,000,000 ֏",AMD,"Mobile phone in excellent condition, call for detailsTranslated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/16939082
Garage,24 sq.m.,"Isakov street, Artaxata (Artashat)","$5,500",USD,"Call until 21:00 in the yard of 76A Isakov building. Possibility of 2 floors, covered and glazed. Height 2.70, width 4 meters, depth 6 meters. Plaster from outside, inside, electricity, sewerage, sink, hanging mat. The ground is made of concrete. It is the largest and tallest garage in the building. Any car will stop. There is no price for a garage from the sky, there is no such price for such a garageTranslated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/17727590
Garage,18 sq.m.,Ararat › Artashat,"1,200,000 ֏",AMD,"Garage made of metal, 18 square meters, has a permit for installationTranslated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/17755036
Garage,24 sq.m.,Ararat › Shahumyan,"1,000,000 ֏",AMD,Iron for salemobile garage 24 sq. M. Մ. (6 × 4) area. Abshivka is made inside.Translated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/16487668
Garage,24 sq.m.,"Khanjyan street 66, Ararat","$5,300",USD,A stone garage is for sale behind the 66 Khanjyan building.Translated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/17710711
Garage,36 sq.m.,"Dprocakanner street, Masis","$17,000",USD,"A stone garage is for sale in the town of Masis, in the neighborhood of Morena restaurant, it is lined with stone on two floors, it has a sewer roof, it is galvanized, it is suitable for any type of construction, for other questions, call the indicated number, the price is negotiable.Translated from Armenian",Dec-12-2022_18-42,,https://list.am/en/item/18163754
Garage,20 sq.m.,"Ogostosi 23, Artashat","$5,000",USD,Срочно продается гараж.В центре г. Арташат.,Dec-12-2022_18-42,,https://list.am/en/item/16401820
Garage,22 sq.m.,Ararat › Ararat,"1,700,000 ֏",AMD,"Гараж новыйКрыша новая лист оцинковка 0,45 ммВорота новые покрашенные сталь 3.Около футбольного стадионаБокс есть",Dec-12-2022_18-42,,https://list.am/en/item/17373162
Garage,50 sq.m.,"Կոմիտասի փողոց 10, Արարատ","2,700,000 ֏",AMD,The garage is located in the city of Ararat. The roof is repaired; the floor too.Translated from Armenian,Dec-12-2022_18-42,,https://list.am/en/item/18570679
