Type,Floor Area,Address,Price,Currency,Description,Datetime,Prepayment,Links,Utilities,Amenities
Garage,50 sq.m.,"Улица Лалаяна 84, Гюмри","30,000 ֏",AMD,It is given with a rose. Has a name. It is located next to the court.Translated from Armenian,Nov-24-2022_16-44,,https://list.am/en/item/17798958,,
Garage,50 sq.m.,Shirak › Gyumri,"$2,500",USD,"A stone garage is for rent or in exchange for a car, a stone garage on Manushyan street, adjacent to building 4a, also has a basement.Translated from Armenian",Nov-24-2022_16-44,,https://list.am/en/item/18070709,,
Garage,20 sq.m.,"Սունդուկյան փողոց 26Ա, Գյումրի","20,000 ֏",AMD,Brick garageTranslated from Armenian,Nov-24-2022_16-44,,https://list.am/en/item/18056773,,
Garage,36 sq.m.,"Կնունյանց փողոց 90, Գյումրի","60,000 ֏",AMD,A garage is for rent in the yard of a residential house (the house is not inhabited) It is convenient to use as a warehouse or for other activities.Translated from Armenian,Nov-24-2022_16-44,1 month,https://list.am/en/item/17349418,,
Garage,36 sq.m.,Shirak › Gyumri,"60,000 ֏",AMD,"In Gyumri, a stone garage, suitable for storage or other blonde activities, is for rent. 36 sq. M.Translated from Armenian",Nov-24-2022_16-44,,https://list.am/en/item/16579389,,
Garage,60 sq.m.,Shirak › Gyumri,"70,000 ֏",AMD,60 квадрат сдам аренду ходавик сварчик. На вацап,Nov-24-2022_16-44,,https://list.am/en/item/18207047,,
Garage,20 sq.m.,"Minas Avetisyan street 25, Gyumri","$3,800",USD,"A legal garage is for rent in district 58, in the courtyard of Minas Avetisyan 25 building. Plastered concrete floor with block inside.Translated from Armenian",Nov-24-2022_16-44,By Agreement,https://list.am/en/item/18337076,,
Garage,20 sq.m.,"Proshyan Street, Artik","800,000 ֏",AMD,Excellent renovated house for saleTranslated from Armenian,Nov-24-2022_16-44,,https://list.am/en/item/17562096,,
Garage,30 sq.m.,"Улица Трдата Чартарапета 8, Гюмри","12,000 ֏",AMD,Чистый сухой гараж...Звоните по ватцапу пожалуйста.,Nov-24-2022_16-44,,https://list.am/en/item/18257567,,
Garage,20 sq.m.,Shirak › Gyumri,"10,000 ֏",AMD,"A garage is for rent in Gyumri, in the yard of the building 27a of Yerevan highwayTranslated from Armenian",Nov-24-2022_16-44,,https://list.am/en/item/18295026,,
Garage,64 sq.m.,"Hansoglyan Street, Gyumri","$10,000",USD,"A stone garage for sale, near the central park, two-story, there is a basement under the entire surface, both floors together are 64 sq. M.Translated from Armenian",Nov-24-2022_16-44,Without prepayment,https://list.am/en/item/18114693,,
Garage,20 sq.m.,"Hansoglyan Street, Gyumri","12,000 ֏",AMD,"Located in Slabodka district, stone in good condition, with electricityTranslated from Armenian",Nov-24-2022_16-44,,https://list.am/en/item/18198888,,
Garage,18 sq.m.,"Հակոբյան փողոց 41/1, Գյումրի","15,000 ֏",AMD,"The garage is located in the center, near the square. Also for sale, call for detailsTranslated from Armenian",Nov-27-2022_16-29,Without prepayment,https://list.am/en/item/18404270,,
Parking Space,60 sq.m.,Shirak › Akhuryan,$100,USD,"A car service garage for RENT. For questions, WRITE, I WILL ANSWER.Translated from Armenian",Nov-27-2022_16-29,By Agreement,https://list.am/en/item/18630191,"ELectricity, water",VIdeo surveillance
Garage,50 sq.m.,"Mazmanyan Street, Gyumri","50,000 ֏",AMD,В нормальном состоянии,Nov-27-2022_16-30,,https://list.am/en/item/18407193,,
Garage,20 sq.m.,"Անի թաղամասի 11-րդ փողոց 10, Գյումրի","20,000 ֏",AMD,"Ավտոտնակը երկաթյա է՝ մի կողմից կից քարե շինությանը:Гараж железный, с одной стороны пристроен к каменному зданию.",Nov-27-2022_16-30,2 months,https://list.am/en/item/18469701,,
Garage,30 sq.m.,"Rijkov St, Gyumri","35,000 ֏",AMD,"Garage in good condition, call for detailsTranslated from Armenian",Nov-27-2022_16-30,,https://list.am/en/item/18512527,,
Garage,18 sq.m.,"P. Sevak street 20, Gyumri","8,000 ֏",AMD,Гараж находится в нормальном состояний,Nov-27-2022_16-30,,https://list.am/en/item/18525138,,
Garage,70 sq.m.,"Улица Туманяна 129, Гюмри","50,000 ֏",AMD,"В центре города Гюмри, сдается офисные и складские помещения, очень удобно для организации своего бизнеса, есть помещения разных типов и метражев: Гаражи, офистые помещения, открытая парковка, адрес туманяна 129 рядом с магазином мебели Декор.",Nov-27-2022_16-30,,https://list.am/en/item/18402101,,
Garage,38 sq.m.,Shirak › Gyumri,"35,000 ֏",AMD,"For rent, for questions call after 17:00.Translated from Armenian",Nov-27-2022_16-30,,https://list.am/en/item/18406873,,
