Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Furniture,Garage,Renovation,Land Area,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links,Condition,Service Lines,Facilities
House,Monolith,150 sq.m.,2,3,2,Available,Not available,Designer Renovation,650 sq.m.,4,No,No,Not included,1 month,"Շարլզ Ազնավուր փողոց 13, Փարաքար","$1,500 monthly",USD,"Code 14207 A 3-room two-story private house is for rent near Zvartnots Airport, on Charles Aznavour Street. The total surface of the land is 650 square meters. M. Of which 150 square meters are considered residential. M.: Capital renovated in designer style, provided with all utilities. Located on the roadside, all necessary shops are nearby.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18350371,,,
House,Stone,200 sq.m.,1,3,3+,Available,1 spot,Euro Renovation,600 sq.m.,6,Yes,Yes,Not included,1 month,"Hanrapetutyan St, Armavir","20,000 ֏ daily",AMD,"Посуточно сдаётся трехкомнатный дом, с гаражом с мебелью.Собственник.В зале присутствует кондиционер, камин, пианино, телевизор, WIFI.На кухне присутствует все кухонные принадлежности.Во дворе присутствует бассейн с водопадом, шашлычная, тандирДом оборудован отоплением и горячей, холодной водой.Имеются полотенце, постельное белье, утюг.Гостям за пределами Армении встретим и проводим бесплатно.",Nov-24-2022_22-59,,,https://list.am/en/item/17499473,,,
House,Stone,600 sq.m.,2,7,2,,,Euro Renovation,200 sq.m.,,,,,,Armavir › Armavir,"$110,000 monthly",USD,Urgent Urgent two-storey stone house for sale. Write. I'm not in ArmeniaTranslated from Armenian,Nov-24-2022_22-59,,,https://list.am/en/item/16819622,,,
Country House,Stone,200 sq.m.,2,4,2,,,Designer Renovation,600 sq.m.,,,,,,Armavir › Tairov,"500,000 ֏ monthly",AMD,"Gasified, furnished, equipped with appliances. Swimming pool, barbecue parking. The house has all the necessary conditions for living, dishes.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18066537,,,
Country House,Stone,200 sq.m.,2,4,2,,,Designer Renovation,600 sq.m.,7,No,No,Not included,By Agreement,Armavir › Tairov,"600,000 ֏ monthly",AMD,"It is a newly built house. It is furnished, it has gas, constant water, a parking space. The yard is landscaped, there is a swimming pool, a barbecue and it is fenced. The house is guarded by a security system.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18077228,,,
House,Stone,150 sq.m.,2,5,1,,,Major Renovation,450 sq.m.,,,,,,Armavir › Merdzavan,"$1,300 monthly",USD,"Сдается дом. Есть вся необходимая мебель и техника для комфортного проживания. Хорошая транспортная развязка, рядом школа, детский сад, магазины, аптеки, остановки общественного транспорта. 15 минут до центра города.",Nov-24-2022_22-59,,,https://list.am/en/item/17595630,,,
House,Stone,400 sq.m.,2,3,2,,1 spot,Major Renovation,1000 sq.m.,2,Yes,No,Included,By Agreement,"Մեսրոպ Մաշտոցի փողոց 1, Մուսալեռ","20,000 ֏ daily",AMD,"Fully renovated house for daily rent at 48 Yerevanyan Street, Musaler. The price of one room is AMD 20,000. Air conditioning, Wi-Fi, parking.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/18374744,,,
House,Stone,597 sq.m.,1,5,3+,,,Cosmetic Renovation,383 sq.m.,,,,,,"Andranik street, Vagharshapat","100,000 ֏ daily",AMD,"A beautiful, recently cosmetically renovated private house is for daily rent in Andranik district of Etchmiadzin.The private house is located in a quiet part of the district.The area of the land is 597 square metersThe total area is 383.3 square metersThe house consists of:Spacious living room-Kitchen-Bathroom-4 bedrooms, one of which has its own private bathroomTo make your memorable days even more memorable, the house has an indescribably beautiful green garden:-with the pool-with a small corner of the grillA separate room in the park with its shower room and kitchen.The advantages of a private house are:The latest security systemRemote controlled gates-Parking parking for 6 cars.The whole area of the house is monitored by cameras.Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17721410,,,
House,Stone,60 sq.m.,1,2,1,,Not available,Euro Renovation,,3,No,No,Not included,2 months,Yerevan › Shengavit,"350,000 ֏ monthly",AMD,"Code-62177In Shengavit, a 1-story, 2-room stone house is for rent.It is the second floor of a private house, with a separate entrance^ The house is in very good, clean condition^ It is a sunny, bright, comfortable and beautiful house to live in^ Has all amenities^ Nearby there are all the necessary shops, a school, a kindergartenTranslated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/17834658,,,
House,Stone,358 sq.m.,2,7,2,,,Partial Renovation,480 sq.m.,2,Yes,Yes,Not included,1 month,Armavir › Echmiadzin,"$1,700 monthly",USD,"100,000 AMD average payment in the first month7 ROOMS FOR RENTHOUSEIn the city of EtchmiadzinFloor 1-2Area 358 square meters residential, 480 landAll utilities2 floorswellLarge poolfencedwindows changed2 large balconiesCoated:The roof is made of tinFor more information call...Translated from Armenian",Nov-24-2022_22-59,,,https://list.am/en/item/16827620,,,
