Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,New Construction,Elevator,Ceiling Height,Floor,Balcony,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Furniture,Garage,Amenities,Appliances,Links,Condition,Service Lines,Facilities
House,Stone,120 sq.m.,1,5,2,Partial Renovation,"12,000 sq.m.",Shirak › Isahakyan,"150,000 ֏ monthly",AMD,"The house is in a normal condition. It has 4 bedrooms, a living room, a kitchen, a closed balcony, a corridor, a bathroom, an entrance, it is furnished with all the necessary furniture.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17722915,,,
House,Stone,95 sq.m.,1,4,1,Partial Renovation,,"Գոգոլի փողոց 1, Գյումրի","7,000 ֏ daily",AMD,Վարձով է տրվում 1 հարկանի քարե տուն ք. Գյումրիյում՝ Վարդանանց հրապարակից 1 կմ հեռավորությամբ։ Ապահովված է կոմունալ հարմարություններով։ Մանրամասների համար զանգահարել։Կոդ KV333,Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18175331,,,
,Stone,95 sq.m.,4,3,1,Euro Renovation,,"Aragats street, Գյումրի","300,000 ֏",AMD,"Վարձով է տրվում 3սենյականոց բնակարան քաղաքի կենտրոնում, կոմունալ վճարները մեր վրա, շուրջօրյա հսկողություն։ здаётсья 3комнатная квартира в центре города, комумунальных плат нет, круглосуточная охрана",Nov-24-2022_23-04,Yes,Not available,from 2.8 m,3.0,Not available,,,,,,,,,,https://list.am/en/item/18293571,,,
House,Stone,60 sq.m.,1,2,1,Euro Renovation,150 sq.m.,Shirak › Gyumri,$500 monthly,USD,Собственник.Здаеться в аренду одноэтажный уютный дом со всеми коммунальными удобствоми. В наличии интернет. Центральное отопление. В зимние месяцы 400$.Депозит.В центре Гюмри Руставели ул.,Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18273421,,,
House,Stone,231 sq.m.,1,5,3+,Designer Renovation,90 sq.m.,"Սպանդարյան փողոց 101, Գյումրի","700,000 ֏ monthly",AMD,"The house is completely renovated, has 3 bedrooms, 2 bathrooms (one with jacuzzi), 1 separate bathroom, kitchen with all the necessary facilities, large living room with the necessary furniture.There is a yard and a garage. Available for both long-term and short-term rent.For more information callTranslated from Armenian",Nov-24-2022_23-04,,,,,,8+,Yes,No,Not included,By Agreement,,,,,https://list.am/en/item/18005770,,,
House,Stone,240 sq.m.,2,5,1,Major Renovation,,"Bagratunyats Square, Gyumri","200,000 ֏ monthly",AMD,"Տունը գտնվում է քաղաքի կենտրոնում։ Կարելի է օգտագործել նաև որպես գրասենյակ: Կարող եմ տրամադրել միայն երկրորդ հարկը, գումարն այդ դեպքում կլինի 100000Дом находится в центре города: Можно арендовать как дом, так и как офис.Можете взять только второй этаж, тогда плата будет 100.000, дом большой, могут поместиться 2 семьи...Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/18318795,,,
House,Stone,120 sq.m.,1,4,1,Euro Renovation,100 sq.m.,Shirak › Gyumri,"300,000 ֏ monthly",AMD,"Сдается собственный дом с евро ремонтом солнечное место, постоянное водоснабжение, газификация, система BAX ответственным и НОРМАЛЬНЫМ ЛЮДЯМ с недвижимостью. Ежемесячная оплата ДОГОВОРНА в зависимости от количества жильцов и периода. Для получения дополнительной информации позвоните.     (9:00-20:00)",Nov-24-2022_23-04,,,,,,1,Negotiable,No,Not included,1 month,Available,1 spot,"TElevision, internet, barbecue oven, gazebo, alarm system","FRidge, stove, dishwasher, washing machine, water heater, iron, hair dryer",https://list.am/en/item/18374698,,,
House,Stone,35 sq.m.,2,2,1,Cosmetic Renovation,,"Улица Маяковского 56, Гюмри","7,500 ֏ daily",AMD,"Мы находимся в центре города, недалеко от площади Вардананц, гостиницы Александраполь, автовокзала и рынка. Есть всё для комфортного проживания. Ждём добрых гостей.Действуют скидки при длительном проживании: 8% за неделю и 13% за месяц и более дней. Y",Nov-24-2022_23-04,,,,,,4,Yes,No,Included,Without prepayment,,,,,https://list.am/en/item/17918291,,,
House,Stone,110 sq.m.,2,4,1,Partial Renovation,120 sq.m.,Shirak › Gyumri,"250,000 ֏ monthly",AMD,"A private house is for rent in the center. It has all the communal facilities, hot and cold water Baxi system, garage, basement.Translated from Armenian",Nov-24-2022_23-04,,,,,,,,,,,,,,,https://list.am/en/item/17534393,,,
House,Stone,60 sq.m.,1,3,1,Designer Renovation,20 sq.m.,"Գոգունցի փողոց 1, Գյումրի","15,000 ֏ daily",AMD,A perfect property with all utilities is available for rent and daily rent.Translated from Armenian,Nov-24-2022_23-04,,,,,,3,Yes,Yes,Included,1 month,Available,Not available,,,https://list.am/en/item/18374500,,,
