Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,400 sq.m.,2,8+,1,No Renovation,800 sq.m.,"Մարշալ Բաղրամյան փողոց 28, Ապարան","$68,000",USD,"The house is located at Daryan 14, the roof has been newly repaired, the windows have been changed to Euro, plaster, stucco, stone stairs inside.The plot is eight hundred square meters, the house is nine meters by twenty-two meters, the house is suitable for a guest house, a summer house, a private house or a business center. Urgent sale, price negotiable.Partial exchange options are possible at an additional cost on your part.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/18343920,,,,,,
Country House,Monolith,665 sq.m.,1,2,1,No Renovation,100 sq.m.,Aragatsotn › Ghazaravan,"$22,000",USD,"For sale or exchange, a plot of land with a new one-story building is for sale or exchange, it is 1000 square meters, it is fenced on both sides, it is suitable for building a dacha or a guest house, it has a great view, the ownership certificate is available. Beautiful ornamental trees are planted in the garden: (sasna, tua, samshit, etc.It is possible to exchange with a mercedes ji 500 (yashik) or x6 bmwI will also listen to other offersTranslated from Armenian",Nov-25-2022_00-24,Not available,1 spot,,,,https://list.am/en/item/18288640,,,,,,
House,Stone,896 sq.m.,2,8+,3+,Partial Renovation,1980 sq.m.,Aragatsotn › Oshakan,"$280,000",USD,"The house is located next to the valley, with a beautiful view. It is negotiable.Translated from Armenian",Nov-25-2022_00-24,Not available,2 spots,,,,https://list.am/en/item/17842110,,,,,,
House,Stone,3300 sq.m.,2,7,1,No Renovation,3300 sq.m.,"1/1 street, Katnaghbyur","$40,000",USD,"Real EstateSalesHousesThis announcement awaits the moderator check.Two-storey stone house on 1/1 street in Talin, 3300 sq. M. Մ. , a large plot of land40,000:1/1 street, KatnaghbyurType:HouseBuilding type:Stone:Number of floors:2:Number of rooms:7:Number of bathrooms:1:Total area:3300 sq. M. Մ.Land area:3300 sq. M. Մ.RenovationNot renovated2-storey private house is for sale in Katnaghbyur village, Talin region, Aragatsotn region. The total area is 3300 square meters. M, residential 270 sq. M. M.: Ceiling height 3300 sq. M. M:Permanent water, electricity, boiler house, garage, fence, large orchard More than 100 fruit trees. PRICE $ 40,000 NEGOTIABLEIt is possible to exchange with an apartment in Yerevan.Translated from Armenian",Nov-25-2022_00-24,Available,3 or more spots,,,,https://list.am/en/item/17289636,,,,,,
House,Stone,90 sq.m.,2,3,1,No Renovation,800 sq.m.,Aragatsotn › Agarak,"$26,000",USD,"Two-storey stone half-built house in Agarak village of Aragatsotn (20 km from Yerevan), 100 m from the North-South road. The land area is 800 square meters, the house is 90 square meters (the floor is 45 square meters) Euro windows, bars, iron door, roof finish.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17887491,,,,,,
House,Monolith,920 sq.m.,4+,8+,3+,Designer Renovation,700 sq.m.,Aragatsotn › Ashtarak,"$420,000",USD,"4-storey private house is for sale in the beginning of Ashtarak, 15 km away from Yerevan (20 km from the center) Residential 920 sq. M. The floor is 230 square meters, the land area is 700 square meters.5 living rooms, 8 bathrooms, 5 bedrooms (each with its own bathroom), 2 balconies (40-60 sq. M.), 3 kitchens, one summer (with barbecue), garage for 4 cars.Permanent water, electricity and water stations (electricity is free for 12 months), air conditioners, central heating installation, cameras, security system. For sale together with the property and equipment, it is possible to rent $ 3000 per month.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17499907,,,,,,
House,Stone,1000 sq.m.,2,8+,2,No Renovation,250 sq.m.,"Улица Гарегина Нжде 49, Аштарак","$79,000",USD,"Two-storey private house made of high quality, fenced, has three-phase electricity, water. Exchange with a carTranslated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17710632,,,,,,
House,Stone,192 sq.m.,1,7,1,Partial Renovation,"12,000 sq.m.",Aragatsotn › Arteni,"$55,000",USD,"If the house is in excellent condition, you can call for questionsTranslated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17748198,,,,,,
House,Stone,160 sq.m.,1,5,1,Old Renovation,1000 sq.m.,Aragatsotn › Ashtarak,"$65,000",USD,"The house is provided with all the communal amenities. The windows are European, the roof is fresh. There is a big basement under the house. Has a large orchard. Call for more details.It will be interesting to exchange it with a house or apartment with at least 3 rooms.Just for the sake of interest, please do not call.Translated from Armenian",Nov-25-2022_00-24,,,,,,https://list.am/en/item/17834842,,,,,,
House,Stone,130 sq.m.,1,3,1,Euro Renovation,1500 sq.m.,Aragatsotn › Aparan,"$50,000",USD,"Urgent sale with all utilities. The house is located in the village of Kuchak. I will also exchange it for an apartment in Yerevan. Land area 1500 square meters, a recreation area and a cable car are being built nearby.Translated from Armenian",Nov-25-2022_00-24,By agreement,Not available,,,,https://list.am/en/item/16624458,,,,,,
