Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Garage,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Facilities,Appliances,Service Lines,Links,Amenities,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment
House,Stone,460 sq.m.,2,7,3+,1 spot,Designer Renovation,1378 sq.m.,"Գայի փողոց 33, Դիլիջան","$295,000",USD,"Գույքը որպես հանգստյան տուն ապահովում է տարեկան $30,000 մաքուր եկամուտ:Տունը ունի երկու քոթեջ: 1-ին քոթեջը ունի 3 ննջասենյակ, ճաշասենյակ, խոհանոց, 2 սանհանգույց, պահեստ, պատշգամբ, բուխարի: 2-րդ քոթեջը ունի 2 ննջասենյակ, խոհանոց, սանհանգույց:Առկա է առանձին սրահ 40 անձի համար, որը կարող է օգտագործվել որպես սրճարան և ռուսական շոգեբաղնիք ինչպես նաև կիսակառույց շինություն երկհարկանի 180 քմ մակերեսով:Предлагаем в аренду элитный дом в Дилижане. У нас два коттеджа. В нашем роскошном коттедже 3 спальни, 2 ванные комнаты, столовая, кухня, балкон. В нашем комфортабельном коттедже 2 спальни, ванная комната, кухня. В обоих коттеджах мы обеспечиваем все коммунальные услуги, включая бесплатный Wi-Fi. Оба коттеджа полностью меблированы, имеется вся кухонная техника (посудомоечная машина, стиральная машина, холодильник, чайник, электроплита, утюг с гладильной доской), место для парковки. Обратите внимание, что домашние животные или курение внутри не допускаются. У нас также есть русская баня.We are offering for rental a luxury house in Dilijan. We have two cottages. Our luxe cottage has 3 bedrooms, 2 bathrooms, dining room, kitchen, balcony. Our comfort cottage has 2 bedrooms, bathroom, kitchen. In both cottages we are providing with all utilities including free Wifi. Both cottages are fully furnished we have all kitchen appliances (dishwashing machine, washing machine, fridge, kettle, electric stove and cooker, iron with ironing board), parking space. Note that NO pets or smokin inside is allowed. We also have Russian sauna.",Nov-25-2022_00-19,,,,,https://list.am/en/item/17472320,,,,,,
House,Stone,151 sq.m.,2,4,2,1 spot,Partial Renovation,2920 sq.m.,Tavush › Hovk,"$38,000",USD,"Own house for sale in Hovk village, (Tavush district, Dilijan Ijevan middle part), partially renovated, basement floor suitable for habitation, euro windows, iron doors, railing... There is a swimming pool, the works of which are 70 percent completed, the size of the pool is 7.5 *4 m, the walls are iron, 1 cm thick. The total area of the house is 152 sq/m, to which a balcony measuring 15*3.5m has been added, it has a beautiful view, the size of the plot is 2920 sq/m, the works related to gas have been completed in the village, but gas is not yet supplied, it is provided with permanent water. The house is located in a beautiful location and has worked as a guest house for many years, it is also suitable for agricultural activities, it has a 52 sq. M. Barn that needs repair, the road is moderately difficult to pass in the last part, it is sold without an intermediary.Translated from Armenian",Nov-25-2022_00-19,By agreement,,,,https://list.am/en/item/18352138,,,,,,
House,Stone,350 sq.m.,3,8+,3+,Not available,Old Renovation,550 sq.m.,"Myasnikyan street, Dilijan station","84,000,000 ֏",AMD,"A large 3-storey private house is for sale in the very center of Dilijan city, the total area of the house is 350 square meters, the total number of rooms is 13.The house is not inhabited at the moment, the renovation is old.Located in the heart of Dilijan, adjacent schools, kindergarten, banks, shops J. In a word, it is the busiest place, it is very convenient to turn into a hotel or use for other business purposes.Translated from Armenian",Nov-25-2022_00-19,Available,,,,https://list.am/en/item/17233018,,,,,,
House,Stone,343 sq.m.,2,8+,1,Not available,Old Renovation,5100 sq.m.,Tavush › Dilijan,"$138,000",USD,"A two-storey old house with an area of 343 square meters is for sale in Dilijan city, in Shamakhyan district.Has a very large plot of land - 5100 sq. M. Area, of which 3421 square meters are privatized. Status of the land near the house, for construction.There is permanent water and electricity. The gas pipe is nearby, as it is a residential district.Like him, there are many apple, pear and plum fruit trees in the land.You can find the location in Google or Yandex maps by searching for the following coordinates40.755517, 44.835565:Translated from Armenian",Nov-25-2022_00-19,Available,,,,https://list.am/en/item/17341909,,,,,,
Townhouse,Stone,320 sq.m.,2,8+,3+,3 or more spots,No Renovation,700 sq.m.,"Շամախյան փողոց 52, Դիլիջան","$299,999",USD,"Urgent sale of 2 identical townhouse-style two-story houses in an elite developing district in Dilijan, on a hilltop with a wonderful view, directly in front of the Dilijan Resort Hotel, each house has 4 bedrooms, 1 living room, 3 bathrooms, 1 kitchen, 160 square meters of living space, parking for 3 cars, fireplace, besedka made of brick, completely covered with Artik tuff, fenced, water, sewage, gas, electricity are connected, large stained glass windows and doors, very beautiful and convenient project, suitable for guest house activities, each house costs 100,000-150,000 per day, and also as summer house, call for detailsTranslated from Armenian",Nov-25-2022_00-19,Not available,"FIreplace, barbecue oven, gazebo, alarm system",AIr conditioner,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/18375597,,,,,,
House,Stone,280 sq.m.,3,8+,3+,Not available,No Renovation,2000 sq.m.,Tavush › Noyemberyan,"$16,000",USD,"Private house for sale without renovation. Park 2000 meters, Address: Tavush region, Noyemberyan cityTranslated from Armenian",Nov-25-2022_00-19,Not available,,,,https://list.am/en/item/16396869,,,,,,
House,Stone,108 sq.m.,3,4,2,,Partial Renovation,200 sq.m.,Tavush › Ijevan,"20,000,000 ֏",AMD,"The cottage is located next to the court building, three floors, one floor basement, 54 sq. M. Meter area, two-story residential 108 sq. M. Meters in area. Living room, kitchen and bathroom on the first floor, three bedrooms and bathroom on the second floor.Translated from Armenian",Nov-25-2022_00-19,,,,,https://list.am/en/item/18264951,,,,,,
House,Stone,300 sq.m.,1,8+,1,,Old Renovation,,"Shamakhyan Street, Dilijan station","$80,000",USD,"House for sale in Dilijan, call for detailsTranslated from Armenian",Nov-25-2022_00-19,,,,,https://list.am/en/item/18036540,,,,,,
House,Stone,650 sq.m.,2,7,2,1 spot,Major Renovation,,"Orjonikidze 3rd alley, Դիլիջան","$120,000",USD,"Լավ ամառանոցաին վայրՇքեղ տեսարանՄշտական ջուր գազ լռւյսՀաստապատ, ունի ավտոտնակ, այգիԲակսի համակարքДом продается и сдается в арендуРядом с домом продается земельный участок 1000кв метровСтены толстые 60 смОтопление BAXSIПостоянная водаTranslated from Armenian",Nov-25-2022_00-19,Available,,,,https://list.am/en/item/15423121,,,,,,
House,Bricks,115 sq.m.,2,2,2,,Euro Renovation,,"Getapnya street, Dilijan station","$130,000",USD,"Продается Дом в Дилижане.Евро ремонт!Есть все удобство!Продоется с мебелью, и техникой!Дом находиттся на набережной пряма возле реки!Есть школа, детский сад!Сдается в аренду за месяц 400000",Nov-25-2022_00-19,,,,,https://list.am/en/item/16546123,,,,,,
