Type,Land Area,Service Lines,Address,Price,Currency,Description,Datetime,Links
Agricultural,"162,000 sq.m.","Electricity, water supply, sewerage","Zvartnots quarter 107 null, Vagharshapat","$350,000",USD,"Garden for sale in Zvartnots district of Vagharshapat.The total area is 16.2 ha, all documents are available.9.5 ha - grapes (vertical and golden)3.7 ha - apricots and currants2.5 ha - walnuts0.5 ha - plumsThree-phase electricity, potable water, own artesian well, office and storage buildings.Partial repayment, exchange with an apartment or commercial space in Yerevan is possible.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18538969
For Residential Development,600 sq.m.,"Electricity, water supply, natural gas",Armavir › Merdzavan,"$8,000",USD,"Land for sale in the village of Merdzavan, 20 minutes from the center of Yerevan by car, very urgent! Price is negotiableTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18324136
For Residential Development,405 sq.m.,"Electricity, water supply, natural gas, sewerage","Ղարիբջանյան փողոց, Վաղարշապատ","$21,000",USD,"It is located at the back of 33 service + Teryan street, the 4th plot from the right on Etchmiadzin highway, for building a residential houseTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18651631
For Residential Development,700 sq.m.,,"Tairov street 1, Yerevan","$30,000",USD,A plot of land to build your own house in ParakarTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/18285618
Agricultural,8100 sq.m.,,Armavir › Gai,"$15,000",USD,"Arable land for sale (privatization) near the road leading to Metsamor in Gay village. The road leading to the land is paved, there is electricity nearby.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17699775
For Residential Development,405 sq.m.,,"Yeghishe Charents Street 9, Vagharshapat","$27,000",USD,"The land is located on the second street on the road from Etchmiadzin to Atarbekyan, it is the second land. The land has the possibility of gas, water and sewer connection in the neighborhood. There is a half-built basement on the land, there is also a well. The school and the kindergarten are nearby, it is also close to Nur and number one supermarkets. The length of the front of the land is 15 meters and the depth is 27 meters.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18055737
Agricultural,"20,000 sq.m.",Sewerage,Armavir › Shahumyan,"$25,000",USD,"2 hectares of land for sale in Shahumyan. 4 km away from Etchmiadzin. 1 hectare is productive apricot trees with a yield of 4-5 tons per season and 1 hectare is fertile land for establishing a grain or productive garden. Can I sell the land in pieces? The place is ideal for enjoying water, light, everything is nearby.The price is $25,000. I will listen to exchange offers.I will provide lots of pictures if you wantYou won't regret it if you buy, the land is very suitable for growing grapes for wineriesTranslated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18357615
For Residential Development,500 sq.m.,,"Օստրովսկի փողոց 25, Վաղարշապատ","$18,000",USD,Land near the house 500 m / s in the yard with fruit treesTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17599242
Agricultural,"10,000 sq.m.",,Armavir › Gai,"17,000,000 ֏",AMD,"I am selling an agricultural land in the village of Gai (Khatunarch) The land area is actually more than one hectare, only the frontage is 100 meters, it is the largest and most suitable in the given area. It is irrigated by a 3-inch pump, it has gas and electricity, it is very suitable for establishing a greenhouse economy, there are greenhouses on both sides of the land, which can be seen in the second picture, it is still being cultivated. The road to the land is normal, paved. The price is written, please do not call pointlessly to ask or lower the price.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/16967799
Agricultural,2600 sq.m.,,Armavir › Geghakert,"$2,700",USD,"URGENT Arable land (with water) for sale in Geghakert village of Armavir marz. Area: 2,600 m2.Cadastral code 123-004For details, call the indicated phone number.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17977768
Agricultural,1000 sq.m.,,"Մեսրոպ Մաշտոցի փողոց, Գեղակերտ","$4,800",USD,"A land near the house with an area of 1,000 m2 is for sale in Geghakert village, Armavir region. Address: Raffi street apt. 30. Cadastral code: 060-015.For all questions you can call the mentioned phone number.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17977766
For Residential Development,680 sq.m.,"Electricity, water supply",Armavir › Musaler,"$20,000",USD,"The plot of land is located 50m from Echmiadzin road, Yerevan. It is flat, one side is fenced, there is electricity, water, call for details.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18629957
Agricultural,5000 sq.m.,,Armavir › Jrarat,"$6,500",USD,"Urgent! The land is located in Jrarat village of Armavir region, it has not been cultivated for several years. There is a neighbor with his own water well. It is expedient to use it as arable land, to establish a garden or a greenhouse.For more information call:Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/17116161
For Residential Development,2000 sq.m.,,Armavir › Aknashen,"10,000,000 ֏",AMD,"Fenced, communications blocked. Lands attached to each other with two certificates. Call for details. 40 meters front.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18286525
Agricultural,4500 sq.m.,,"Armavir Province Roadway 16, Hovtashat","$30,000",USD,"13 year old apricot orchard for sale. It is 100 meters from the central road and has the possibility of drawing electricity. There is no water problem. The garden is located in Haykavan village of Armavir marz. For details, you can call the indicated number. In exchange for a 2-3 room apartment in Armavir city with an additional fee from me or you.Translated from Armenian",Dec-12-2022_18-19,https://list.am/en/item/18293360
For General Purpose,1100 sq.m.,,Armavir › Shahumyan,"$7,700",USD,Call for details. There is also an exchange with an equivalent carTranslated from Armenian,Dec-12-2022_18-19,https://list.am/en/item/17674019
