Type,Elevator,Floors in the Building,Parking,Room Area,Renovation,Balcony,Floor,Number of Guests,Children Are Welcome,Pets Allowed,Prepayment,Utility Payments,Address,Price,Currency,Description,Datetime,Amenities,Appliances,Links
Private House,Not available,2,Outdoor parking,25 sq.m.,Cosmetic Renovation,Open balcony,2,3,No,No,1 month,Not included,"Zovuni 6 street, Zovuni","80,000 ֏ monthly",AMD,"A house is for rent on the 0th floor of a 2-storey building. Separate entrance. Bathroom and tub outside. The house is not furnished. Several cars can be parked in the yard. Transport from 100 meters. There are shops, a pharmacy, a school, a kindergarten in the area. 1.5 kilometers from Davitashen. Call for detailsTranslated from Armenian",Dec-12-2022_21-22,,,https://list.am/en/item/18374476
Private House,Not available,2,,20 sq.m.,Euro Renovation,Open balcony,2,6,Yes,Yes,By Agreement,Not included,"Ազատության փողոց, Ձորաղբյուր","175,000 ֏ monthly",AMD,"Сдается 3 отдельные комнаты (можно и все) с мебелью и отдельной ванной и туалетом, в с. Дзорахбюр, ул. Азатутян, 1-ой линим, 3 км от Еревана, 2-ом этаже 2-уж этажного дома. Вход отдельный, новый капитальный ремонт. Есть летняя кухня, камин, тондыр итд. 1 комната 450$ за месяц, магазины, кафе Рядом. Звоните, рассмотрю и Ваши предложения.! Фото смотрите В моей странице",Dec-12-2022_21-22,"Television, internet, parking space","Fridge, stove, coffee maker, washing machine, iron, hair dryer",https://list.am/en/item/18373926
,Not available,2,,25 sq.m.,Major Renovation,Open balcony,2,,,,,,Kotayk › Zar,"200,000 ֏ monthly",AMD,The 2nd floor of a two-story stone building is for rent. Utilities are available. The building is located 10 km from the city of Abovyan. For more information call.Translated from Armenian,Dec-12-2022_21-22,,,https://list.am/en/item/18410597
Apartment,Not available,1,,28 sq.m.,Major Renovation,Not available,1,2,Negotiable,No,1 month,Not included,Kotayk › Arinj,"150,000 ֏ monthly",AMD,"One room, kitchen, bathroom, capital building, renovated, uninhabited, fully furnished, call for detailsTranslated from Armenian",Dec-12-2022_21-22,Television,"Fridge, stove, washing machine, water Heater",https://list.am/en/item/18653013
Private House,Not available,1,,30 sq.m.,Cosmetic Renovation,Not available,1,2,Yes,Negotiable,1 month,Not included,"Jrvezh 6-th street, Jrvej","100,000 ֏ monthly",AMD,"A room for rent in Jrvezh, newly renovated, uninhabited. All utilities are available.Translated from Armenian",Dec-12-2022_21-22,,"Stove, water Heater",https://list.am/en/item/18709231
Private House,Not available,2,Outdoor parking,30 sq.m.,Partial Renovation,Not available,1,3,Yes,Negotiable,1 month,Not included,Kotayk › Ptghni,$150 monthly,USD,Daily and long term 15000 orakan negotiableTranslated from Armenian,Dec-12-2022_21-22,"Television, parking space",Fridge,https://list.am/en/item/18637468
Guesthouse,Not available,1,Outdoor parking,24 sq.m.,Euro Renovation,Not available,1,8+,Yes,Negotiable,By Agreement,By Agreement,Kotayk › Abovian,"130,000 ֏ monthly",AMD,It is a renovated roomTranslated from Armenian,Dec-12-2022_21-22,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, washing machine",https://list.am/en/item/18689681
Private House,Not available,1,,15 sq.m.,Cosmetic Renovation,Open balcony,1,2,Yes,No,1 month,Included,"Խաչատուր Կեչառեցու փողոց 17, Ծաղկաձոր","5,000 ֏ daily",AMD,Տրվում է վարձով 1սենյականոց բնակարան Ծաղկաձորում օրավարձ 5000դրամ,Dec-12-2022_21-22,,,https://list.am/en/item/17935446
Hotel,Not available,3,Outdoor parking,80 sq.m.,Designer Renovation,Closed balcony,1,6,Yes,Yes,By Agreement,Included,"Սևանի փողոց, Աբովյան","13,500 ֏ daily",AMD,"The house is available for rent from 3 days to 90 days: ::Apartment for daily rent The house is provided for rent from 3 days to 90 days: ::Apartment for rent House for rent from 3 days to 90 daysHello, you can also call the specified number through a direct call.: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :In the city of AbovyanAt the beginning of the citySuramarket and shops nearbyParks and playgroundsIn a calm and quiet environmentOpportunities to use different means of transportApartment for daily rentFurnished with everythingA Utility with all facilitiesServiced conditionDaily rent apartment minimum 3 daysTranslated from Armenian",Dec-12-2022_21-22,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water Heater, iron, hair dryer",https://list.am/en/item/18249651
Guesthouse,Available,3,"Outdoor parking, covered parking, garage",60 sq.m.,Designer Renovation,Closed balcony,1,5,Yes,Yes,By Agreement,Included,"Սևանի փողոց, Աբովյան","12,500 ֏ daily",AMD,"The house is available for rent from 3 days to 90 days: ::Apartment for daily rent The house is provided for rent from 3 days to 90 days: ::Apartment for rent House for rent from 3 days to 90 daysHello, you can also call the specified number through a direct call.: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :: :In the city of AbovyanAt the beginning of the citySuramarket and shops nearbyParks and playgroundsIn a calm and quiet environmentOpportunities to use different means of transportApartment for daily rentFurnished with everythingUtility with all amenitiesServiced conditionApartment with daily rent minimum 1 dayTranslated from Armenian",Dec-12-2022_21-22,"Television, air conditioner, internet, parking space","Fridge, stove, microwave, coffee maker, dishwasher, washing machine, drying machine, water Heater, iron, hair dryer",https://list.am/en/item/18249650
Private House,Not available,2,Outdoor parking,50 sq.m.,Cosmetic Renovation,Not available,1,2,Negotiable,No,By Agreement,By Agreement,"38-я улица 3/1, Зовуни","100,000 ֏ monthly",AMD,Сдаю в аренду 2 комнаты в своём частном доме. Комната находиться на первом этаже.Более подробно по телефону.Վարձով եմ տալիս 2 սենյակ իմ առանձնատանը։ Սենյակը գտնվում է առաջին հարկում։Մանրամասների համար զանգահարեք մշված հեռախոսահամարին։,Dec-12-2022_21-22,"Television, internet, parking space","Fridge, stove, washing machine, water Heater",https://list.am/en/item/18620009
,Not available,3,,30 sq.m.,Cosmetic Renovation,Open balcony,2,1,Yes,Yes,Without prepayment,Included,"Улица Техерашен 12, Прошян","100,000 ֏ monthly",AMD,"Здравствуйте, сдается койко-место в большом гостевом доме, можно пользоваться всем домом и садом. В доме есть все комуникации. Рядом с домом магазины, спортзал, кафе.При необходимости оборудуем рабочее место!Без депозитов и комиссий. В стоимость включены комунальные услуги.Обстановка не принуждающая, ностальгировать по дому не приходится)",Dec-12-2022_21-22,,,https://list.am/en/item/18531177
,Not available,4,,30 sq.m.,Cosmetic Renovation,Open balcony,2,1,Yes,Yes,Without prepayment,Included,"Улица Техерашен, Прошян","200,000 ֏ monthly",AMD,"Здравствуйте, есть гостевой дом в Прощяне (3км от Еревана), вода, бакси, интернет, свет газ все есть. Кухня общая, дом общий, мансарды, зал, сад. У каждого личная комната. Мы уважаем личное пространство каждого. По желанию можете найти соседа и снимать на пополам, мы оборудуем комнату под двух людей для комфортного проживания)Цена комнаты 200т. Д. В месяц с учетом коммуналки.Депозитов нет, комиссий нет.Обстановка не принуждающая, ностальгировать по дому не приходится)",Dec-12-2022_21-22,,,https://list.am/en/item/18436137
Guesthouse,Not available,2,,20 sq.m.,Designer Renovation,Open balcony,2,8+,Yes,Yes,By Agreement,Not included,"Մասիսի փողոց 38, Ձորաղբյուր","5,000 ֏ daily",AMD,Տրվում են վարձով սենյակներ Ձորաղբյուրում.Сдаются комнаты в Дзорахбюр.Rooms on rent in Dzoraxbyur.,Dec-12-2022_21-22,,,https://list.am/en/item/18578999
Private House,Not available,1,Outdoor parking,12 sq.m.,Major Renovation,Not available,1,2,No,No,By Agreement,By Agreement,Kotayk › Balahovit,"80,000 ֏ monthly",AMD,Сдаётся комната. Все удобства есть. Новый мебель.,Dec-12-2022_21-22,"Television, internet, parking space","Fridge, stove, microwave, washing machine, water Heater, iron, hair dryer",https://list.am/en/item/18603993
Guesthouse,Not available,2,Outdoor parking,16 sq.m.,Major Renovation,Open balcony,2,4,Yes,Negotiable,By Agreement,Not included,Kotayk › Garni,"13,500 ֏ daily",AMD,"For information, call the number or write to WhatsAppFor more information call.In the village of GarniHotel:For short and long term staysFamilyThe store is on the first floor of the building.On Geghard RoadAmoeba with communal conditions.Translated from Armenian",Dec-12-2022_21-22,"Television, air conditioner, internet, parking space","Fridge, coffee maker, water Heater",https://list.am/en/item/18662154
,Not available,3,,26 sq.m.,Euro Renovation,Open balcony,2,,,,,,Kotayk › Proshyan,"200,000 ֏ monthly",AMD,"Գտնվում է Երևան Աշտարակ մայրուղու վրա, 15 թաղամասից 2կմ դեպի ԱշտարակՍենյակը ունի Smart TV, սառնարան, օդորակիչ, պատժգամբ, սանհանգույց, Wi - Fi և կաբելային ինտերնետ, տաք և սառը ջուր, մաքրություն, կոմունալ ծախսերը մեր կոխմից։Սենյակը 26 մ - 1-օրը-18000Դր Տրամադրվում է երկարաժամկետ տարբերակով։Расположен на трассе Ереван-Аштарак, в 2 км от 15 квартала до Аштарака.В номере есть Smart TV, холодильник, кондиционер, балкон, ванная комната, Wi-Fi и кабельный интернет, горячая и холодная водаКомната 26 м - 1 день 18000драм.",Dec-12-2022_21-22,,,https://list.am/en/item/17602649
